Chapter,Question,Option A,Option B,Option C,Option D,Answer
Decimals,0.5 + 0.25 = ?,0.75,0.5,0.25,1,0.75
Decimals,0.8 - 0.3 = ?,0.5,0.4,1.1,0.3,0.5
Decimals,0.6 × 0.5 = ?,0.3,0.6,0.5,1,0.3
Decimals,0.9 ÷ 0.3 = ?,3,0.3,0.9,1,3
Decimals,Which is greater?,0.45 or 0.5,0.45,0.5,Equal,None,0.5
Decimals,Place value of 7 in 3.745?,0.7,7,0.07,0.007,0.7
Decimals,0.25 as fraction is?,1/2,1/4,1/5,2/5,1/4
Decimals,0.125 as fraction is?,1/8,1/4,1/5,1/2,1/8
Decimals,Add 0.75 + 0.2 = ?,0.95,0.85,1,0.9,0.95
Decimals,Subtract 1.2 - 0.45 = ?,0.75,0.85,0.65,0.7,0.75
Decimals,Multiply 0.6 × 0.3 = ?,0.18,0.2,0.9,0.16,0.18
Decimals,Divide 0.8 ÷ 0.4 = ?,2,0.2,0.4,1,2
Decimals,0.5 + 0.05 = ?,0.55,0.5,0.45,0.6,0.55
Decimals,Compare 0.7 and 0.65,0.7>0.65,0.7<0.65,Equal,None,0.7>0.65
Decimals,Compare 0.405 and 0.45,0.405>0.45,0.405<0.45,Equal,None,0.405<0.45
Decimals,0.2 as fraction?,1/5,1/4,2/5,2/10,1/5
Decimals,0.75 as fraction?,3/4,1/2,2/3,1/4,3/4
Decimals,0.125 + 0.25 = ?,0.375,0.35,0.3,0.4,0.375
Decimals,0.6 - 0.25 = ?,0.35,0.3,0.4,0.45,0.35
Decimals,0.8 × 0.5 = ?,0.4,0.45,0.5,0.35,0.4
Decimals,0.9 ÷ 0.3 = ?,3,0.3,0.9,1,3
Decimals,Round 3.456 to 1 decimal?,3.5,3.4,3.45,3.46,3.5
Decimals,Round 0.789 to 2 decimals?,0.79,0.78,0.7,0.8,0.79
Decimals,Which is smaller?,0.505 or 0.55,0.505,0.55,Equal,None,0.505
Decimals,0.333 as fraction?,1/3,1/2,2/3,1/4,1/3
Decimals,0.666 as fraction?,2/3,1/3,1/2,3/4,2/3
Decimals,Add 0.125 + 0.375 = ?,0.5,0.45,0.4,0.55,0.5
Decimals,Subtract 0.9 - 0.45 = ?,0.45,0.4,0.5,0.55,0.45
Decimals,Multiply 0.25 × 0.4 = ?,0.1,0.15,0.2,0.12,0.1
Decimals,Divide 0.6 ÷ 0.2 = ?,3,2,0.3,0.6,3
Decimals,0.05 + 0.15 = ?,0.2,0.1,0.25,0.3,0.2
Decimals,0.7 - 0.3 = ?,0.4,0.3,0.5,0.6,0.4
Decimals,0.45 × 0.2 = ?,0.09,0.1,0.08,0.12,0.09
Decimals,0.81 ÷ 0.9 = ?,0.9,0.81,1,0.8,0.9
Decimals,0.6 + 0.15 = ?,0.75,0.7,0.65,0.8,0.75
Decimals,Compare 0.625 and 0.65,0.625>0.65,0.625<0.65,Equal,None,0.625<0.65
Decimals,0.2 × 0.3 = ?,0.06,0.06,0.05,0.08,0.06
Decimals,0.5 ÷ 0.25 = ?,2,0.2,1,0.5,2
Decimals,Round 7.346 to 1 decimal?,7.3,7.4,7.34,7.35,7.3
Decimals,Round 0.876 to 2 decimals?,0.88,0.87,0.86,0.89,0.88
Decimals,Convert 3/4 to decimal?,0.75,0.25,0.5,0.7,0.75
Decimals,Convert 1/8 to decimal?,0.125,0.12,0.15,0.1,0.125
Decimals,Which is greater?,0.333 or 0.3,0.333,0.3,Equal,None,0.333
Decimals,Which is smaller?,0.75 or 0.705,0.75,0.705,Equal,None,0.705
Decimals,0.2 + 0.4 + 0.15 = ?,0.75,0.7,0.8,0.65,0.75
Decimals,0.9 - 0.45 - 0.3 = ?,0.15,0.1,0.2,0.25,0.15
Decimals,0.5 × 0.4 × 0.2 = ?,0.04,0.05,0.06,0.03,0.04
Decimals,0.81 ÷ 0.9 ÷ 3 = ?,0.3,0.27,0.33,0.25,0.3
Decimals,0.625 + 0.125 = ?,0.75,0.7,0.8,0.65,0.75
Decimals,0.8 - 0.25 - 0.2 = ?,0.35,0.3,0.4,0.45,0.35
Decimals,0.125 × 0.4 × 0.8 = ?,0.04,0.05,0.045,0.035,0.04
Decimals,0.6 ÷ 0.2 ÷ 3 = ?,1,1.5,1.2,1.3,1
Decimals,0.333 + 0.666 = ?,0.999,1,1.1,0.95,0.999
