Question,Option A,Option B,Option C,Option D,Answer
Which of these is a decimal?,3.5,3,5,7,A
Decimal point separates?,Whole part and fractional part,Numerator and denominator,Top and bottom,Line,A
0.5 is equal to?,1/2,2/5,5/10,3/5,A
0.25 is equal to?,1/4,1/5,2/5,3/4,A
0.75 is equal to?,3/4,1/2,1/4,2/3,A
Decimal 0.1 represents?,1/10,1/100,1/2,1/5,A
0.01 is equal to?,1/100,1/10,1/50,1/5,A
0.6 + 0.3 =?,0.9,0.6,0.3,1,A
0.7 - 0.2 =?,0.5,0.4,0.9,0.2,A
0.4 × 0.5 =?,0.2,0.9,0.1,0.4,A
0.6 ÷ 0.2 =?,3,2,4,5,A
0.75 + 0.25 =?,1,0.5,0.75,0.25,A
0.9 - 0.4 =?,0.5,0.6,0.3,0.4,A
0.2 × 0.5 =?,0.1,0.5,0.2,0.25,A
0.8 ÷ 0.4 =?,2,1,3,4,A
Which is largest?,0.5,0.25,0.75,0.1,C
Which is smallest?,0.2,0.5,0.7,0.9,A
0.3 + 0.4 =?,0.7,0.6,0.5,0.8,A
0.9 × 0.5 =?,0.45,0.5,0.4,0.95,A
0.8 ÷ 0.2 =?,4,2,6,3,A
Decimal 0.125 equals?,1/8,1/4,1/2,1/10,A
0.2 + 0.3 =?,0.5,0.6,0.4,0.7,A
0.6 - 0.1 =?,0.5,0.6,0.4,0.7,A
0.7 × 0.2 =?,0.14,0.15,0.12,0.1,A
0.9 ÷ 0.3 =?,3,2,4,1,A
0.05 + 0.15 =?,0.2,0.1,0.3,0.05,A
0.1 + 0.9 =?,1,0.5,0.9,0.8,A
0.3 + 0.6 =?,0.9,0.7,0.8,1,A
0.5 - 0.2 =?,0.3,0.2,0.5,0.4,A
0.8 - 0.6 =?,0.2,0.3,0.1,0.4,A
0.4 + 0.5 =?,0.9,0.8,0.7,0.5,A
0.2 × 0.3 =?,0.06,0.05,0.02,0.03,A
0.6 × 0.4 =?,0.24,0.26,0.25,0.2,A
0.9 ÷ 0.3 =?,3,2,4,5,A
0.8 ÷ 0.4 =?,2,3,1,4,A
0.1 × 0.2 =?,0.02,0.01,0.03,0.1,A
0.25 × 0.4 =?,0.1,0.2,0.25,0.4,A
0.6 ÷ 0.2 =?,3,2,1,4,A
0.75 ÷ 0.25 =?,3,2,1,4,A
0.8 + 0.15 =?,0.95,0.85,0.9,1,A
0.7 + 0.25 =?,0.95,0.85,0.9,1,A
0.6 + 0.35 =?,0.95,0.9,1,0.85,A
0.4 + 0.55 =?,0.95,0.9,0.85,1,A
0.9 - 0.45 =?,0.45,0.5,0.4,0.55,A
0.7 - 0.3 =?,0.4,0.5,0.45,0.3,A
0.5 ÷ 0.5 =?,1,0.5,2,0,A
0.8 ÷ 0.2 =?,4,2,3,5,A
0.6 ÷ 0.3 =?,2,1,3,4,A
0.9 ÷ 0.1 =?,9,8,1,10,A
0.15 + 0.25 =?,0.4,0.3,0.35,0.5,A
