Question,Option A,Option B,Option C,Option D,Answer
Data can be represented in?,Tables,Stories,Poems,Drawings,A
A pictograph uses?,Pictures,Numbers,Letters,Lines,A
Which graph shows changes over time?,Line graph,Bar graph,Pictograph,Pie chart,A
Which graph shows parts of a whole?,Pie chart,Line graph,Bar graph,Table,A
Bar graph is used to?,Compare data,Show parts of whole,Show fractions,Show decimals,A
Number of rows in a table represent?,Data entries,Data type,Time,Category,A
Columns in a table represent?,Categories,Values,Time,Units,A
Mode of data is?,Most frequent value,Least value,Average,Total,A
Median of 1,3,5,7,9?,5,1,3,7,A
Mean of 2,4,6,8,10?,6,5,4,7,A
Which graph uses bars of equal width?,Bar graph,Line graph,Pictograph,Pie chart,A
Each picture in pictograph represents?,Certain number,Single unit,Half unit,Fraction,B
Total number of observations is?,Sum of data entries,Mode,Median,Mean,A
Frequency table shows?,How often data occurs,Average,Sum,Median,A
Line graph shows?,Trends over time,Parts of whole,Equal comparison,Pictorial data,A
Pie chart represents?,Parts of whole,Frequency,Trend,Sum,A
Which shows data visually?,Graph,Table,Text,Paragraph,A
Mean is also called?,Average,Mode,Median,Total,A
Mode is also called?,Most frequent,Average,Median,Total,A
Median is?,Middle value,Average,Mode,Sum,A
Which graph is easier for comparison?,Bar graph,Line graph,Pie chart,Pictograph,A
Data can be?,Numerical,Qualitative,Both A and B,None,C
Frequency of 3 in 1,2,3,3,4?,2,1,3,0,A
Total observations of 5,3,5,5,1,5?,4,3,5,2,A
Mean of 4,6,8?,6,7,5,8,A
Median of 1,2,3,4,5?,3,2,1,4,A
Mode of 2,2,3,3,3,4?,3,2,4,1,A
Bar graph can show?,Comparison between groups,Trends over time,Parts of whole,Frequency,A
Line graph can show?,Trends over time,Comparison,Parts of whole,Frequency,A
Pictograph is useful when?,Data is small or simple,Data is large,Data is complex,Data unknown,A
Pie chart shows?,Percentage or fraction,Sum,Mean,Mode,A
Which is qualitative data?,Names,Numbers,Count,Mean,A
Which is quantitative data?,Numbers,Names,Colors,Shapes,A
Mean of 10,20,30?,20,25,15,30,A
Median of 7,9,11?,9,10,7,11,A
Mode of 4,4,5,6?,4,5,6,1,A
Number of bars in bar graph represents?,Categories,Values,Time,Units,A
Pictograph symbol represents?,Fixed number of units,One unit,Half unit,Unknown,B
Pie chart represents data in?,Circle,Square,Line,Rectangle,A
Line graph connects?,Points showing data,Bars showing data,Parts of whole,Units,A
Bar graph uses?,Bars,Lines,Points,Pictures,A
Each section of pie chart shows?,Part of total,Total,Mode,Frequency,A
Mean =?,Sum of observations ÷ Number of observations,Mode,Median,Frequency,A
Median =?,Middle value of ordered data,Sum,Mode,Average,A
Mode =?,Most frequent value,Sum,Average,Median,A
Pie chart is useful for?,Percentage data,Trends,Comparison,Frequency,A
Bar graph shows?,Comparison of quantities,Trend over time,Part of whole,Average,A
Line graph is useful for?,Trend over time,Comparison,Part of whole,Frequency,A
Frequency table shows?,How often each value occurs,Mean,Median,Mode,A
Data handling helps to?,Organize and interpret data,Write stories,Draw pictures,Play games,A
Pictograph uses?,Symbols or pictures,Numbers only,Letters only,Shapes only,A
Bar graph bars can be?,Vertical or horizontal,Only vertical,Only horizontal,Only diagonal,A
