Chapter,Question,Option A,Option B,Option C,Option D,Answer
Understanding Elementary Shapes,How many sides does a triangle have?,3,4,5,6,3
Understanding Elementary Shapes,Which shape has all sides equal and all angles 90°?,Rectangle,Square,Rhombus,Parallelogram,Square
Understanding Elementary Shapes,A line segment has?,No endpoints,One endpoint,Two endpoints,Infinite endpoints,Two endpoints
Understanding Elementary Shapes,A ray has?,No endpoints,One endpoint,Two endpoints,Three endpoints,One endpoint
Understanding Elementary Shapes,Which angle is exactly 90°?,Acute,Right,Obtuse,Straight,Right
Understanding Elementary Shapes,Which angle is less than 90°?,Acute,Right,Obtuse,Straight,Acute
Understanding Elementary Shapes,Which angle is more than 90°?,Acute,Right,Obtuse,Straight,Obtuse
Understanding Elementary Shapes,Lines that never meet are called?,Intersecting,Parallel,Perpendicular,Diagonal,Parallel
Understanding Elementary Shapes,Lines meeting at right angle are called?,Parallel,Intersecting,Perpendicular,Concurrent,Perpendicular
Understanding Elementary Shapes,Which shape has 4 sides with opposite sides equal?,Square,Rhombus,Rectangle,Triangle,Rectangle
Understanding Elementary Shapes,Which shape has 4 equal sides but angles not 90°?,Square,Rhombus,Rectangle,Parallelogram,Rhombus
Understanding Elementary Shapes,Circle has?,No sides,One side,Two sides,Three sides,No sides
Understanding Elementary Shapes,Which is a straight angle?,90°,180°,45°,60°,180°
Understanding Elementary Shapes,Number of diagonals in a square?,1,2,3,4,2
Understanding Elementary Shapes,An equilateral triangle has?,Equal sides,Equal angles,Both sides and angles equal,None,Both sides and angles equal
Understanding Elementary Shapes,Sum of angles in a triangle?,90°,180°,270°,360°,180°
Understanding Elementary Shapes,Sum of angles in a quadrilateral?,180°,360°,270°,90°,360°
Understanding Elementary Shapes,Which quadrilateral has only one pair of parallel sides?,Rectangle,Square,Parallelogram,Trapezium,Trapezium
Understanding Elementary Shapes,Which quadrilateral has both pairs of opposite sides parallel?,Rectangle,Square,Parallelogram,Trapezium,Parallelogram
Understanding Elementary Shapes,Diagonals of a rectangle?,Equal,Unequal,Perpendicular,Parallel,Equal
Understanding Elementary Shapes,Diagonals of a square?,Equal and perpendicular,Equal,Perpendicular,Unequal,Equal and perpendicular
Understanding Elementary Shapes,Diagonals of a rhombus?,Equal,Perpendicular,Equal and perpendicular,Unequal,Perpendicular
Understanding Elementary Shapes,Which shape has no diagonals?,Circle,Triangle,Square,Rectangle,Circle
Understanding Elementary Shapes,An obtuse triangle has?,All angles <90°,One angle >90°,One angle = 90°,Two angles >90°,One angle >90°
Understanding Elementary Shapes,An acute triangle has?,All angles <90°,One angle >90°,One angle = 90°,Two angles >90°,All angles <90°
Understanding Elementary Shapes,A right-angled triangle has?,All angles <90°,One angle >90°,One angle = 90°,Two angles = 90°,One angle = 90°
Understanding Elementary Shapes,Which quadrilateral has all sides equal and angles 90°?,Square,Rhombus,Rectangle,Parallelogram,Square
Understanding Elementary Shapes,Which quadrilateral has all sides equal but angles not 90°?,Square,Rhombus,Rectangle,Parallelogram,Rhombus
Understanding Elementary Shapes,Which quadrilateral has opposite sides equal and angles not 90°?,Rectangle,Parallelogram,Square,Rhombus,Parallelogram
Understanding Elementary Shapes,Lines that intersect at a point are called?,Parallel,Intersecting,Perpendicular,Concurrent,Intersecting
Understanding Elementary Shapes,Two lines intersecting at right angle are called?,Perpendicular,Parallel,Concurrent,Intersecting,Perpendicular
Understanding Elementary Shapes,Concurrent lines,Meet at one point,Never meet,Parallel lines,Perpendicular lines,Meet at one point
Understanding Elementary Shapes,Triangle with sides 3,4,5 is called?,Equilateral,Isosceles,Scalene,Right-angled,Right-angled
Understanding Elementary Shapes,Triangle with all sides equal is called?,Equilateral,Isosceles,Scalene,Right-angled,Equilateral
Understanding Elementary Shapes,Triangle with two sides equal is called?,Equilateral,Isosceles,Scalene,Right-angled,Isosceles
Understanding Elementary Shapes,Triangle with all sides unequal is called?,Equilateral,Isosceles,Scalene,Right-angled,Scalene
Understanding Elementary Shapes,Polygon with 5 sides?,Pentagon,Hexagon,Quadrilateral,Octagon,Pentagon
Understanding Elementary Shapes,Polygon with 6 sides?,Pentagon,Hexagon,Quadrilateral,Octagon,Hexagon
Understanding Elementary Shapes,Polygon with 8 sides?,Hexagon,Octagon,Quadrilateral,Triangle,Octagon
Understanding Elementary Shapes,Sum of interior angles of pentagon?,360°,540°,720°,450°,540°
Understanding Elementary Shapes,Sum of interior angles of hexagon?,360°,540°,720°,600°,720°
Understanding Elementary Shapes,Diagonal divides quadrilateral into?,Two triangles,Two squares,Two rectangles,Two circles,Two triangles
Understanding Elementary Shapes,Angle between hands of clock at 3?,90°,45°,60°,120°,90°
Understanding Elementary Shapes,Angle between hands of clock at 6?,180°,90°,120°,60°,180°
Understanding Elementary Shapes,Angle between hands of clock at 9?,90°,60°,120°,45°,90°
Understanding Elementary Shapes,Angle between hands of clock at 12?,0°,90°,180°,45°,0°
Understanding Elementary Shapes,Lines that are neither intersecting nor parallel are called?,Skew lines,Perpendicular,Concurrent,Parallel,Skew lines
Understanding Elementary Shapes,Sum of exterior angles of polygon?,360°,180°,540°,720°,360°
Understanding Elementary Shapes,Exterior angle of regular triangle?,30°,60°,90°,120°,60°
Understanding Elementary Shapes,Exterior angle of square?,90°,180°,45°,60°,90°
