Question,Option A,Option B,Option C,Option D,Answer
Simplify: 2x + 3x,5x,6x,2x,3x,A
Simplify: 5y - 3y,2y,8y,5y,3y,A
If x = 3, find 2x + 5,11,12,10,13,A
Value of 3a - 2a + 5, a + 5,5a,3a + 5,2a + 5,A
Simplify: 4x + 2y + 3x,7x + 2y,5x + 2y,6x + 2y,4x + 5y,A
If x = 2, y = 3, find x + y,5,6,4,3,A
Simplify: 2(x + 3),2x + 3,2x + 6,2x + 9,3x + 6,B
Simplify: 3(a + 2b),3a + 2b,3a + 6b,6a + 3b,2a + 3b,B
Value of 5x - 3 when x = 4,17,18,19,20,A
Simplify: 7y + 3y - 4,10y - 4,10y,7y - 4,3y - 4,A
If a = 2, b = 3, find a + b,5,6,4,3,A
Simplify: 4x - 2x + 7,2x + 7,4x + 7,2x - 7,3x + 7,A
Simplify: 5m + 2n + 3m,8m + 2n,7m + 2n,5m + 5n,10m + 2n,A
Value of 2x + 3y when x = 3, y = 4,18,17,15,16,A
Simplify: 3(p + q) + 2p,5p + 3q,3p + 3q,2p + 5q,4p + 5q,A
If x = 5, find 2x - 3,7,8,9,10,A
Simplify: 4(a + b) - 2b,4a + 2b,2a + 2b,4a + 6b,2a + 4b,A
Simplify: 6x - (2x + 3),4x - 3,8x - 3,4x + 3,6x - 3,A
Value of 3a + 2b when a = 2, b = 3,12,13,10,11,A
Simplify: 5x + 2y - 3x + y,2x + 3y,8x + 3y,3x + y,7x + 2y,A
Simplify: 7m - 3n + 2m - n,9m - 4n,5m - 4n,9m - 2n,8m - 3n,A
Value of x² + 2x when x = 3,15,12,13,14,A
Simplify: (2x + 3) + (3x + 5),5x + 8,5x + 7,6x + 8,6x + 7,A
Simplify: 4(a + 3) - 2(a - 1),2a + 14,4a + 10,4a + 12,2a + 12,A
If x = 2, find 3x² - 5,7,6,8,9,A
Simplify: 2p + 3q + 4p - q,6p + 2q,5p + 2q,6p + 3q,7p + 2q,A
Value of 2x - y when x = 4, y = 3,5,6,7,8,A
Simplify: 3a + 2b - a + b,2a + 3b,4a + 3b,2a + 2b,3a + 3b,A
Simplify: 5x - (3x - 4),2x + 4,2x - 4,8x - 4,2x + 3,A
If a = 2, b = 3, find 2a + 3b,13,12,14,11,A
Simplify: 6x + 4y - 2x - y,4x + 3y,5x + 3y,4x + 5y,6x + 3y,A
Simplify: 3(p + q) - 2p, p + 3q, p + q, 2p + 3q, p + 2q,A
Value of 2x + y when x = 3, y = 5,11,10,12,13,A
Simplify: 4x + 3y - x + y,3x + 4y,5x + 2y,4x + 4y,4x + 2y,A
Simplify: 5a - (2a + 3b),3a - 3b,3a + 3b,2a - 3b,2a + 3b,A
Value of x² - 2x when x = 4,8,12,10,6,A
Simplify: 6x - (4x - 7),2x + 7,2x - 7,10x - 7,6x + 7,A
Simplify: 3m + 5n - 2m + 2n, m + 7n, 5m + 7n, m + 3n, 2m + 7n,A
Value of x² + y² when x = 2, y = 3,13,12,11,14,A
Simplify: (2a + 3b) + (a + b),3a + 4b,2a + 4b,4a + 4b,3a + 3b,A
Simplify: 5p + 2q - 3p + q,2p + 3q,3p + 2q,2p + 2q,3p + 3q,A
Value of 2x - 3y when x = 5, y = 2,4,1,5,6,A
Simplify: 4a + 5b - (a + 2b),3a + 3b,5a + 3b,3a + 2b,4a + 2b,A
Simplify: 7x - 2y + 3x + y,10x - y,10x + y,10x - 2y,10x + 2y,A
Value of 3a + 2b - c when a=2,b=3,c=4,4,6,5,7,C
Simplify: 2x + 3y - (x + y),x + 2y,2x + 2y,x + y,3x + 4y,C
Simplify: 5m + 4n - 2m - 3n,3m + n,3m + 7n,2m + n,3m + 2n,A
Value of x² - y² when x = 5, y = 3,16,18,25,20,A
Simplify: 3a + 2b + 4a - b,7a + b,5a + 3b,6a + b,7a + 2b,A
Simplify: (2x + 3) - (x + 1), x + 2, x + 4, 3x + 2, x + 3,A
Simplify: 4p + 5q - 2p + 2q,2p + 7q, 2p + 3q, 4p + 7q, 3p + 6q,A
