Question,Option A,Option B,Option C,Option D,Correct Answer
The smallest prime number is,0,1,2,3,C
Which is the only even prime number?,2,4,6,8,A
1 is considered as,Prime,Composite,Neither Prime nor Composite,Both C
The HCF of 36 and 60 is,6,12,18,24,B
The LCM of 6 and 8 is,24,48,12,16,A
The HCF of co-prime numbers is,1,0,2,Their product,A
The LCM of co-prime numbers is,1,Sum of numbers,Product of numbers,2×HCF,C
The prime factorization of 72 is,2×2×2×3×3,2×2×3×3×3,2×3×3×3,2×2×2×2×3,A
The smallest composite number is,0,1,4,6,C
A number divisible by 9 has sum of digits divisible by,2,3,9,12,C
The number divisible by 2 and 3 is always divisible by,5,6,9,12,B
The HCF of 54 and 72 is,6,12,18,24,C
The LCM of 12 and 15 is,60,45,30,75,A
The number 121 is divisible by,11,13,7,5,A
Which number is divisible by 5?,121,125,123,127,B
The HCF of 48, 64, 80 is,8,16,24,32,B
The LCM of 8, 12, 20 is,40,60,80,100,B
A number divisible by 10 ends with,1,5,0,2,C
The prime factorization of 210 is,2×3×5×7,2×3×7×11,2×5×7×11,2×3×5×5,A
The LCM of 9, 12 and 15 is,180,90,120,150,A
The HCF of 18 and 27 is,6,9,3,12,B
The smallest prime number greater than 50 is,51,52,53,54,C
The number 154 is divisible by,7,11,13,14,B
The sum of digits divisible by 3 indicates divisibility by,2,3,5,9,B
The LCM of 6 and 15 is,30,25,20,35,A
The HCF of 120, 150 and 180 is,20,30,40,60,B
The smallest number divisible by both 12 and 15 is,60,70,75,80,A
If two numbers are co-prime, their HCF is,0,1,2,Their product,B
The number divisible by 2, 3 and 5 is divisible by,6,10,30,60,C
The HCF of 45 and 75 is,10,15,20,25,B
The LCM of 10 and 25 is,50,75,100,125,A
A number divisible by 4 has its last two digits divisible by,2,4,8,10,B
The HCF of 108, 144 and 180 is,12,18,24,36,A
The LCM of 5 and 7 is,12,30,35,40,C
Which number is divisible by 8?,120,122,124,125,A
The prime factorization of 36 is,2×2×3×3,2×3×6,3×3×4,2×3×2×2,A
The LCM of 3, 4 and 6 is,12,18,24,36,A
The HCF of 56 and 84 is,14,28,42,56,B
The number 247 is divisible by,11,13,17,19,B
Three numbers whose HCF is 2 and LCM is 60 are,2,6,10; 2,5,10; 3,4,5; 2,4,6,A
The smallest number divisible by 9 and 12 is,36,48,72,108,C
The HCF of 120, 180 and 240 is,30,40,60,90,C
The LCM of 8, 10 and 12 is,100,120,140,160,B
The number 825 is divisible by 3,5 and 11?,Yes,No,Partially,Cannot say,C
Two numbers whose product is 180 and HCF is 6 are,6 and 30,10 and 18,12 and 15,9 and 20,A
The HCF and LCM of 36, 48 and 60 are,12 and 240,6 and 180,18 and 360,24 and 480,A
The LCM of 14, 18 and 21 is,126,84,168,98,A
The number 825 is divisible by 3 and 5 but not by 11.,True,False,Cannot say,Partially,A
The prime factorization of 220 is,2×2×5×11,2×2×11×5,2×5×5×11,2×2×5×5,A
