Question,Answer
What is algebra?,Algebra is a branch of mathematics that uses letters and symbols to represent numbers.
What is a variable?,A variable is a letter used to represent an unknown number.
Give an example of a variable.,x is an example of a variable.
What is a constant?,A constant is a fixed number whose value does not change.
What is an algebraic expression?,An algebraic expression is a combination of variables and numbers using operations.
Give an example of algebraic expression.,3x + 5 is an algebraic expression.
What is a term?,A term is a part of an algebraic expression separated by + or − signs.
How many terms are there in 4x + 3y?,There are two terms: 4x and 3y.
What is a coefficient?,The numerical part of a term with a variable is called coefficient.
What is the coefficient of x in 5x?,The coefficient of x is 5.
What is the coefficient of y in −3y?,The coefficient of y is −3.
What is a simple equation?,An equation that has one variable and simple operations.
What is an equation?,An equation is a statement showing equality of two expressions.
Give an example of an equation.,x + 5 = 9
What does solving an equation mean?,Finding the value of the variable that makes the equation true.
Solve x + 3 = 7.,x + 3 = 7 ⇒ x = 4
Solve y − 5 = 2.,y − 5 = 2 ⇒ y = 7
Solve 2x = 10.,2x = 10 ⇒ x = 5
Solve x/2 = 6.,x/2 = 6 ⇒ x = 12
What is substitution?,Replacing a variable with a number.
Find value of 3x when x = 4.,3x = 3 × 4 = 12
Find value of 2a + 3 when a = 5.,2 × 5 + 3 = 13
What is like term?,Terms with same variable and same power.
Give example of like terms.,3x and 5x are like terms.
What are unlike terms?,Terms with different variables or powers.
Give example of unlike terms.,2x and 3y are unlike terms.
Simplify 2x + 3x.,2x + 3x = 5x
Simplify 5a − 2a.,5a − 2a = 3a
Simplify 4y + y.,4y + y = 5y
Simplify 6x − 4x.,6x − 4x = 2x
What is an identity?,An identity is true for all values of variables.
What is an open sentence?,A mathematical statement with a variable.
What is a literal number?,A number represented by a letter.
Write expression for sum of x and 5.,x + 5
Write expression for product of 3 and y.,3y
Write expression for difference of a and 4.,a − 4
Write expression for half of m.,m/2
Form equation: number increased by 3 is 10.,x + 3 = 10
Form equation: twice a number is 12.,2x = 12
Form equation: number divided by 4 is 5.,x/4 = 5
Explain importance of algebra.,Algebra helps to solve problems with unknown values.
What is a mathematical model?,A representation of real-life problems using algebra.
Write expression for perimeter of square.,4s
Write expression for area of square.,s × s
Write expression for perimeter of rectangle.,2(l + b)
Write expression for sum of two numbers.,x + y
Explain variable with real-life example.,x can represent number of students.
Why do we use letters in algebra?,To represent unknown or changing values.
