Chapter,Question,Answer
Symmetry,Draw a figure and show its line of symmetry,Draw a shape like a square → mark the vertical/horizontal line dividing it equally
Symmetry,How many lines of symmetry does a square have?,4
Symmetry,How many lines of symmetry does a rectangle have?,2
Symmetry,How many lines of symmetry does an equilateral triangle have?,3
Symmetry,Draw a shape with exactly 1 line of symmetry,Draw a vertical isosceles triangle
Symmetry,Draw a figure with no symmetry,Draw a scalene triangle
Symmetry,How many lines of symmetry does a circle have?,Infinite
Symmetry,Draw the mirror image of the letter “A”,Draw the letter “A” flipped along vertical axis
Symmetry,Draw the mirror image of the letter “M”,Draw the letter “M” flipped along vertical axis
Symmetry,Draw a figure with 2 lines of symmetry,Draw a rectangle or a kite
Symmetry,How many lines of symmetry does a regular pentagon have?,5
Symmetry,How many lines of symmetry does a regular hexagon have?,6
Symmetry,Draw the mirror image of the word “WOW”,Draw the word “WOW” flipped along vertical axis
Symmetry,Identify lines of symmetry in the letter “H”,Vertical and horizontal → 2 lines
Symmetry,Draw a figure with rotational symmetry of order 4,Draw a square
Symmetry,Draw a figure with rotational symmetry of order 3,Draw an equilateral triangle
Symmetry,Draw a figure with rotational symmetry of order 2,Draw a rectangle
Symmetry,How many lines of symmetry does an isosceles triangle have?,1
Symmetry,Draw a figure with no line symmetry but rotational symmetry,Draw a scalene triangle
Symmetry,Draw the mirror image of the letter “B”,Flip the letter “B” along vertical axis
Symmetry,Draw a figure with both vertical and horizontal symmetry,Draw a square
Symmetry,Draw a figure with only horizontal symmetry,Draw a rectangle wider than tall
Symmetry,Draw a figure with only vertical symmetry,Draw a tall rectangle
Symmetry,Draw a figure with exactly 3 lines of symmetry,Draw an equilateral triangle
Symmetry,Draw a figure with 4 lines of symmetry,Draw a square
Symmetry,Draw a figure with 5 lines of symmetry,Draw a regular pentagon
Symmetry,Draw a figure with 6 lines of symmetry,Draw a regular hexagon
Symmetry,Draw the mirror image of the word “MOM”,Draw “MOM” flipped along vertical axis
Symmetry,Identify symmetry in letter “T”,1 vertical line
Symmetry,Identify symmetry in letter “X”,2 lines → vertical and horizontal
Symmetry,Identify symmetry in letter “Y”,1 vertical line
Symmetry,Draw a figure with rotational symmetry of order 6,Draw a regular hexagon
Symmetry,Draw the mirror image of the letter “K”,Flip “K” along vertical axis
Symmetry,Draw a figure with rotational symmetry of order 8,Draw an octagon
Symmetry,Draw a figure with exactly 2 lines of symmetry,Draw a rectangle
Symmetry,Draw a figure with infinite lines of symmetry,Draw a circle
Symmetry,Draw the mirror image of the letter “E”,Flip along vertical axis
Symmetry,Draw the mirror image of the letter “S”,Flip along vertical axis
Symmetry,Identify lines of symmetry in letter “O”,Infinite → circle
Symmetry,Draw a figure with rotational symmetry but no line symmetry,Draw a scalene triangle
Symmetry,Draw the mirror image of number “3”,Flip along vertical axis
Symmetry,Draw the mirror image of number “8”,Flip along vertical axis
Symmetry,Draw a figure with rotational symmetry of order 5,Draw a regular pentagon
Symmetry,Draw the mirror image of the word “DAD”,Flip along vertical axis
Symmetry,Identify lines of symmetry in a regular octagon,8
Symmetry,Draw a figure with only diagonal symmetry,Draw a square rotated 45°
Symmetry,Draw the mirror image of number “7”,Flip along vertical axis
Symmetry,Draw a figure with 1 line of symmetry and rotational symmetry,Draw an isosceles triangle
Symmetry,Draw a figure with horizontal and diagonal symmetry,Draw a square rotated 45°
Symmetry,Draw a figure with vertical, horizontal, and diagonal symmetry,Draw a square
Symmetry,Identify lines of symmetry in letter “N”,1 → vertical
Symmetry,Draw a figure with rotational symmetry of order 1,Draw an irregular shape
