Question,Answer
What is data? Give an example.,Data means information collected for a purpose. Example: marks of students.
What is data handling?,Data handling is the process of collecting, organizing, representing and interpreting data.
What are primary data?,Primary data are data collected first-hand by the investigator.
What are secondary data?,Secondary data are data collected by someone else and used later.
What is a tally mark?,A tally mark is a way of recording data using strokes.
Why are tally marks used?,Tally marks are used to easily count and record data.
Explain grouping of data.,Grouping of data means arranging data into groups or classes.
What is a pictograph?,A pictograph represents data using pictures or symbols.
What is a bar graph?,A bar graph represents data using rectangular bars.
What is the use of a bar graph?,A bar graph is used to compare quantities easily.
What is frequency?,Frequency is the number of times a value occurs.
What is a table of data?,A table of data shows information arranged in rows and columns.
Explain the steps to collect data.,Data is collected by observation, survey, or questionnaire.
What is interpretation of data?,Interpretation of data means understanding the information shown.
Why is data representation important?,It helps in understanding large data easily.
Give an example of daily life data.,Example: Number of students in each class.
What is a survey?,A survey is a method of collecting data from people.
What is raw data?,Raw data is unorganized data collected initially.
What is organized data?,Organized data is data arranged in tables or charts.
Explain tally chart with example.,A tally chart records frequency using tally marks.
What is a symbol in pictograph?,A symbol represents a fixed number of items.
Explain bar graph with example.,A bar graph shows data using bars of equal width.
Which graph is best for comparison?,Bar graph is best for comparison.
What does height of bar represent?,Height of bar represents the value or frequency.
What is horizontal axis?,Horizontal axis shows categories of data.
What is vertical axis?,Vertical axis shows frequency or values.
Explain how to read a bar graph.,By comparing the heights of bars.
What is a double bar graph?,A graph that compares two sets of data.
Give example of data handling in school.,Attendance record of students.
Why is data collection necessary?,To get information for decision making.
Explain the term frequency table.,A table showing values and their frequencies.
What is a category in data?,A category is a group or type of data.
Explain representation of data.,Showing data using graphs or charts.
What is the purpose of pictograph?,To make data visually attractive and simple.
What is the scale in bar graph?,Scale shows how much one unit represents.
Give example of tally marks for 5.,||||\
What is the use of data handling?,To organize and understand data easily.
Explain with example: data interpretation.,Understanding that highest bar shows maximum value.
What is the advantage of bar graph?,Easy comparison of data.
What is a chart?,A chart is a visual display of data.
Define information.,Processed data is called information.
What is data analysis?,Studying data to draw conclusions.
Explain frequency count.,Counting how many times a value appears.
Why are graphs used?,Graphs help in easy understanding.
Explain real-life use of data handling.,Used in surveys, reports, elections.
How do you organize raw data?,By making tables or charts.
What is the first step in data handling?,Collection of data.
