Question,Answer
What is a ratio?,A ratio compares two quantities of the same kind by division.
Write ratio of 2 and 4.,2 : 4
Simplify the ratio 2 : 4.,1 : 2
What is proportion?,Proportion is the equality of two ratios.
Give an example of proportion.,2 : 4 = 4 : 8
What does the symbol ":" represent?,It represents ratio.
What is the symbol of proportion?,The symbol of proportion is ::
What is meant by simplest form of ratio?,The form where both terms have no common factor.
Simplify 4 : 8.,1 : 2
Simplify 6 : 9.,2 : 3
Simplify 10 : 20.,1 : 2
Write ratio of 5 kg to 10 kg.,5 : 10 = 1 : 2
Write ratio of 3 boys to 6 boys.,3 : 6 = 1 : 2
Write ratio of 2 rupees to 50 paise.,4 : 1
Write ratio of 500 g to 1 kg.,1 : 2
Explain ratio in daily life.,Used to compare quantities like boys to girls in class.
What are the terms of a ratio?,The two numbers being compared.
What is antecedent?,The first term of a ratio.
What is consequent?,The second term of a ratio.
Find ratio of 12 and 18.,12 : 18 = 2 : 3
Find ratio of 15 cm and 30 cm.,15 : 30 = 1 : 2
Find ratio of 1 hour and 30 minutes.,2 : 1
Explain equivalent ratios.,Ratios that have same value after simplification.
Give example of equivalent ratios.,2 : 4 and 1 : 2
Check whether 3 : 5 and 6 : 10 are in proportion.,Yes, because 3 : 5 = 6 : 10
Check whether 4 : 5 and 8 : 15 are in proportion.,No, they are not equal.
What is unitary method?,A method to find value of one unit.
Explain proportion with example.,If 2 : 4 = 4 : 8, then they are in proportion.
Find fourth proportional to 2, 4, 6.,2 : 4 = 6 : x ⇒ x = 12
Find fourth proportional to 3, 5, 9.,3 : 5 = 9 : x ⇒ x = 15
Explain ratio in simplest form.,Dividing both terms by common factor.
What is comparison of quantities?,Comparing two quantities using ratio.
Write ratio of 20 m to 2 km.,1 : 100
Write ratio of 200 ml to 1 litre.,1 : 5
Write ratio of 25 paise to 1 rupee.,1 : 4
Write ratio of 2 days to 48 hours.,1 : 24
Explain proportion formula.,a : b = c : d
What is cross multiplication?,Multiplying extremes and means to check proportion.
Explain means and extremes.,In a : b = c : d, b and c are means, a and d are extremes.
What is the importance of ratio?,Used in recipes, maps, mixtures.
Write ratio of girls to boys if girls = 10, boys = 20.,1 : 2
Write ratio of length to breadth of rectangle 8 cm and 4 cm.,2 : 1
Find ratio of 9 to 3.,3 : 1
Simplify 21 : 14.,3 : 2
What is inverse proportion?,When one quantity increases, other decreases.
Give real-life example of ratio.,Mixing juice and water.
Why do we simplify ratios?,To get simplest comparison.
Explain how to check proportion.,Cross multiply both ratios.
