Chapter,Question,Answer
Algebra,Find the value of 3x + 5 when x = 2,3 × 2 + 5 = 6 + 5 = 11
Algebra,Simplify 2x + 3x,2x + 3x = 5x
Algebra,Simplify 4a + 5b + 3a + 2b,4a + 3a + 5b + 2b = 7a + 7b
Algebra,Evaluate 2x + 3y for x=2, y=3,2 × 2 + 3 × 3 = 4 + 9 = 13
Algebra,Product of -3 and x if x=4,-3 × 4 = -12
Algebra,Subtract (-3) from 7,7 - (-3) = 7 + 3 = 10
Algebra,Find the numerical value of 5x - 3 if x=3,5 × 3 - 3 = 15 - 3 = 12
Algebra,Simplify 2a + 3b - a + 5b,2a - a + 3b + 5b = a + 8b
Algebra,Evaluate 4x - 5y when x=3, y=2,4 × 3 - 5 × 2 = 12 - 10 = 2
Algebra,Find the value of 3(x + 2) when x=5,3(5 + 2) = 3 × 7 = 21
Algebra,Expand 2(a + b),2a + 2b
Algebra,Expand 3(x + 4),3x + 12
Algebra,Factorize 6x + 9,3(2x + 3)
Algebra,Factorize 4a + 8,4(a + 2)
Algebra,Find the value of x² + 2x + 1 when x=3,3² + 2×3 + 1 = 9 + 6 + 1 = 16
Algebra,Find the value of 2x² + 3x when x=2,2×4 + 6 = 8 + 6 = 14
Algebra,Simplify 5x - 2x + 7,3x + 7
Algebra,Evaluate 3a + 4b when a=2, b=3,3×2 + 4×3 = 6 + 12 = 18
Algebra,If x + y = 10 and x=6, find y,10 - 6 = 4
Algebra,Solve for x: 2x + 5 = 13,2x = 13 - 5 = 8 → x = 4
Algebra,Solve for y: 3y - 7 = 11,3y = 18 → y = 6
Algebra,Solve for x: 5x + 2 = 17,5x = 15 → x = 3
Algebra,Evaluate 4(x + 2y) for x=2, y=3,4(2 + 2×3) = 4(2 + 6) = 4 × 8 = 32
Algebra,Find the value of 2x² - 3x + 5 for x=2,2×4 - 6 + 5 = 8 - 6 + 5 = 7
Algebra,Factorize x² + 5x, x(x + 5)
Algebra,Factorize 3a² + 6a,3a(a + 2)
Algebra,Simplify 2x + 3y - x + y,x + 4y
Algebra,Evaluate 5(x - y) when x=7, y=3,5(7-3)=5×4=20
Algebra,Find the value of (x + 2)(x + 3) when x=1,(1+2)(1+3)=3×4=12
Algebra,Expand (a + 5)(a + 2),a² + 2a + 5a + 10 = a² + 7a + 10
Algebra,Expand (x + 3)(x + 4),x² + 4x + 3x + 12 = x² + 7x + 12
Algebra,Factorize x² + 7x + 12,(x + 3)(x + 4)
Algebra,Factorize x² + 5x + 6,(x + 2)(x + 3)
Algebra,If 2x + 3 = 11, find x,2x = 8 → x = 4
Algebra,Simplify 4a + 3b - 2a + b,2a + 4b
Algebra,Evaluate 3(x - y) + 2y for x=5, y=2,3(5-2)+2×2 = 9 + 4 = 13
Algebra,Find value of 2x² + 3x - 5 when x=2,2×4 + 6 - 5 = 9
Algebra,Simplify 6x + 4y - 2x - 3y,4x + y
Algebra,Evaluate 5a - 3b + 2a when a=2, b=1,5×2 - 3×1 + 2×2 = 10 - 3 + 4 = 11
Algebra,Expand (x + 2)(x + 5),x² + 5x + 2x + 10 = x² + 7x + 10
Algebra,Factorize 6x + 9y,3(2x + 3y)
Algebra,Simplify 3x + 2y - x - y,2x + y
Algebra,Find value of 2(x + y) + 3(x - y) for x=2, y=1,2(2+1)+3(2-1)=2×3 + 3×1 = 6 + 3 = 9
Algebra,Simplify x² + 2x + 3x + 4,x² + 5x + 4
Algebra,If x - y = 3 and y = 2, find x, x = 3 + 2 = 5
Algebra,Simplify 4a + 5b - 2a - 3b,2a + 2b
Algebra,Expand (2x + 3)(x + 4),2x² + 8x + 3x + 12 = 2x² + 11x + 12
Algebra,Factorize 2x² + 4x,2x(x + 2)
Algebra,Evaluate x² - 2x + 5 for x=3,9 - 6 + 5 = 8
Algebra,Find value of 3x² + 2x - 4 for x=2,12 + 4 - 4 = 12
Algebra,Simplify 5x + 3y - 2x - y,3x + 2y
Algebra,Expand (x + 1)(x + 6),x² + 6x + x + 6 = x² + 7x + 6
Algebra,Factorize x² + 8x + 15,(x + 3)(x + 5)
Algebra,If 3x + 2y = 16 and x=4, find y,3×4 + 2y =16 → 12 + 2y=16 → 2y=4 → y=2
