Chapter,Question,Answer
Data Handling,Data can be represented in tables.,True
Data Handling,Bar graphs cannot show data.,False
Data Handling,Pictographs use pictures to represent data.,True
Data Handling,Line graphs are used to show changes over time.,True
Data Handling,Histograms are used for categorical data.,False
Data Handling,Frequency table shows how often data occurs.,True
Data Handling,Data can be numerical or categorical.,True
Data Handling,Mean is the sum of values divided by number of values.,True
Data Handling,Median is the middle value when data is arranged.,True
Data Handling,Mode is the value occurring most frequently.,True
Data Handling,Range is the difference between largest and smallest values.,True
Data Handling,All data sets have mode.,False
Data Handling,All data sets have median.,True
Data Handling,All data sets have mean.,True
Data Handling,Data can be represented using tally marks.,True
Data Handling,Pictographs are less visual than tables.,False
Data Handling,Frequency polygon is drawn using line graph.,True
Data Handling,Bar graphs can be horizontal or vertical.,True
Data Handling,Data handling is not used in real life.,False
Data Handling,Survey is a method to collect data.,True
Data Handling,Data can be continuous or discrete.,True
Data Handling,Continuous data can take any value in a range.,True
Data Handling,Discrete data takes only specific values.,True
Data Handling,Stem-and-leaf plot is a way to organize data.,True
Data Handling,Pie charts show parts of a whole.,True
Data Handling,Pie charts cannot show percentages.,False
Data Handling,Histogram bars touch each other.,True
Data Handling,Bar graph bars do not touch each other.,True
Data Handling,Mean is always one of the data values.,False
Data Handling,Median is always one of the data values.,False
Data Handling,Mode can be more than one value.,True
Data Handling,Range can be negative.,False
Data Handling,Data can be grouped for easier interpretation.,True
Data Handling,Class intervals are used in grouped data.,True
Data Handling,Frequency distribution shows how data is spread.,True
Data Handling,Bar graphs are used only for numerical data.,False
Data Handling,Line graph points are joined by lines.,True
Data Handling,Pictographs require a key.,True
Data Handling,Mean, median, and mode are measures of central tendency.,True
Data Handling,Data can be represented using tally marks, True
Data Handling,Histograms and bar graphs are the same, False
Data Handling,Pie chart shows relative proportion of data, True
Data Handling,Frequency polygon is a line joining midpoints, True
Data Handling,Stem-and-leaf plot shows data in organized form, True
Data Handling,Mean is affected by extreme values, True
Data Handling,Median is not affected by extreme values, True
Data Handling,Mode is useful for qualitative data, True
Data Handling,Grouped data uses class intervals, True
Data Handling,Bar graphs always show data in percentages, False
Data Handling,Line graphs can show trends, True
Data Handling,Histograms are suitable for continuous data, True
Data Handling,Data handling is important for decision making, True
