Question,Answer
Match the following:,
A. Carbohydrates, 1. Provide energy
B. Proteins, 2. Help in growth and repair
C. Fats, 3. Provide concentrated energy
D. Vitamins, 4. Help in body functions
E. Minerals, 5. Maintain health
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Protein-rich food, 1. Eggs
B. Energy-giving food, 2. Rice
C. Fatty food, 3. Butter
D. Vitamin-rich food, 4. Orange
E. Mineral-rich food, 5. Spinach
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Carbohydrates, 1. Wheat
B. Proteins, 2. Fish
C. Fats, 3. Oil
D. Vitamins, 4. Carrot
E. Minerals, 5. Milk
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Helps in building muscles, 1. Proteins
B. Provides energy for body, 2. Carbohydrates
C. Protects organs and stores energy, 3. Fats
D. Keeps eyes healthy, 4. Vitamin A
E. Strengthens bones, 5. Minerals
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Rice, 1. Carbohydrate
B. Lentils, 2. Protein
C. Butter, 3. Fat
D. Orange, 4. Vitamin C
E. Spinach, 5. Iron
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Milk, 1. Protein and minerals
B. Oil, 2. Fat
C. Sugar, 3. Carbohydrate
D. Lemon, 4. Vitamin C
E. Banana, 5. Energy-giving food
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Helps in growth, 1. Protein
B. Provides heat and energy, 2. Fats
C. Protects from diseases, 3. Vitamins
D. Helps in blood formation, 4. Minerals
E. Main energy source, 5. Carbohydrates
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Butter, 1. Fat
B. Fish, 2. Protein
C. Rice, 3. Carbohydrate
D. Apple, 4. Vitamins
E. Milk, 5. Minerals
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Protein deficiency, 1. Weak muscles
B. Vitamin C deficiency, 2. Scurvy
C. Vitamin D deficiency, 3. Rickets
D. Iron deficiency, 4. Anaemia
E. Energy deficiency, 5. Weakness
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Energy-giving foods, 1. Rice, wheat, sugar
B. Body-building foods, 2. Milk, eggs, fish
C. Protective foods, 3. Fruits and vegetables
D. Fats and oils, 4. Butter, oil, ghee
E. Minerals, 5. Spinach, milk
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Helps in blood formation, 1. Iron
B. Keeps teeth and bones strong, 2. Calcium
C. Protects from infections, 3. Vitamins
D. Provides energy, 4. Carbohydrates
E. Provides concentrated energy, 5. Fats
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Proteins, 1. Fish
B. Carbohydrates, 2. Rice
C. Fats, 3. Butter
D. Vitamins, 4. Orange
E. Minerals, 5. Spinach
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Helps in repairing tissues, 1. Proteins
B. Prevents night blindness, 2. Vitamin A
C. Prevents scurvy, 3. Vitamin C
D. Provides energy for activities, 4. Carbohydrates
E. Helps in growth of bones, 5. Minerals
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Ghee, 1. Fat
B. Sugar, 2. Carbohydrate
C. Eggs, 3. Protein
D. Lemon, 4. Vitamin C
E. Milk, 5. Minerals
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Carrots, 1. Vitamin A
B. Orange, 2. Vitamin C
C. Fish, 3. Protein
D. Butter, 4. Fat
E. Rice, 5. Carbohydrate
A-1,B-2,C-3,D-4,E-5
