Question,Answer
Match the following:,
A. Bones, 1. Provide shape and support
B. Muscles, 2. Help in movement
C. Joints, 3. Connect bones
D. Tendons, 4. Connect muscles to bones
E. Ligaments, 5. Connect bones to bones
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Hinge joint, 1. Elbow and knee
B. Ball and socket, 2. Shoulder and hip
C. Pivot joint, 3. Neck
D. Gliding joint, 4. Wrist and ankle
E. Fixed joint, 5. Skull
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Skeleton, 1. Framework of bones
B. Vertebrae, 2. Backbone bones
C. Ribs, 3. Protect thoracic organs
D. Skull, 4. Protects brain
E. Pelvis, 5. Supports lower body
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Smooth muscles, 1. Found in internal organs
B. Skeletal muscles, 2. Voluntary muscles
C. Cardiac muscles, 3. Heart
D. Tendon, 4. Connect muscle to bone
E. Ligament, 5. Connect bone to bone
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Flexion, 1. Bending a joint
B. Extension, 2. Straightening a joint
C. Abduction, 3. Moving limb away from body
D. Adduction, 4. Moving limb toward body
E. Rotation, 5. Circular movement
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Cartilage, 1. Covers ends of bones
B. Ligament, 2. Connects bones
C. Tendon, 3. Connects muscles to bones
D. Joint capsule, 4. Encloses joint
E. Synovial fluid, 5. Lubricates joint
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Voluntary muscles, 1. Can be controlled
B. Involuntary muscles, 2. Cannot be controlled
C. Cardiac muscles, 3. Heart muscle
D. Smooth muscles, 4. Found in stomach and intestines
E. Skeletal muscles, 5. Attached to bones
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Femur, 1. Thigh bone
B. Humerus, 2. Upper arm bone
C. Tibia, 3. Shin bone
D. Radius, 4. Forearm bone
E. Skull, 5. Protects brain
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Shoulder, 1. Ball and socket joint
B. Elbow, 2. Hinge joint
C. Neck, 3. Pivot joint
D. Wrist, 4. Gliding joint
E. Hip, 5. Ball and socket joint
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Vertebral column, 1. Backbone
B. Rib cage, 2. Protects heart and lungs
C. Pelvis, 3. Supports lower body
D. Skull, 4. Protects brain
E. Sternum, 5. Chest bone
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Tendon, 1. Connects muscles to bones
B. Ligament, 2. Connects bones to bones
C. Cartilage, 3. Covers bone ends
D. Synovial fluid, 4. Lubricates joints
E. Joint capsule, 5. Encloses joint
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Quadriceps, 1. Front thigh muscle
B. Biceps, 2. Upper arm muscle
C. Triceps, 3. Back of upper arm
D. Gastrocnemius, 4. Calf muscle
E. Deltoid, 5. Shoulder muscle
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Flexor muscles, 1. Bend a joint
B. Extensor muscles, 2. Straighten a joint
C. Smooth muscles, 3. Involuntary muscles
D. Cardiac muscles, 4. Heart muscle
E. Skeletal muscles, 5. Voluntary muscles
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Voluntary muscles, 1. Skeletal muscles
B. Involuntary muscles, 2. Smooth muscles
C. Heart muscle, 3. Cardiac muscles
D. Movement of food in intestines, 4. Smooth muscles
E. Bending elbow, 5. Skeletal muscles
A-1,B-2,C-3,D-4,E-5
