Question,Answer
Match the following:,
A. Root, 1. Absorbs water and minerals
B. Stem, 2. Supports the plant and transports water
C. Leaf, 3. Photosynthesis
D. Flower, 4. Reproduction
E. Fruit, 5. Contains seeds
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Taproot, 1. Main root grows thick
B. Fibrous root, 2. Many thin roots
C. Petiole, 3. Stalk of leaf
D. Blade, 4. Flat part of leaf
E. Node, 5. Part of stem where leaf grows
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Xylem, 1. Transports water
B. Phloem, 2. Transports food
C. Chlorophyll, 3. Green pigment in leaves
D. Photosynthesis, 4. Makes food in presence of sunlight
E. Stomata, 5. Small openings for gas exchange
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Flower, 1. Reproductive part
B. Sepal, 2. Protects flower bud
C. Petal, 3. Attractive part
D. Stamen, 4. Male reproductive organ
E. Carpel, 5. Female reproductive organ
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Root hairs, 1. Absorb water
B. Stem, 2. Supports plant
C. Leaf, 3. Photosynthesis
D. Flower, 4. Reproduction
E. Fruit, 5. Seed dispersal
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Monocot, 1. Single cotyledon
B. Dicot, 2. Two cotyledons
C. Grass, 3. Monocot
D. Sunflower, 4. Dicot
E. Leaf veins parallel, 5. Monocot
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Leaf, 1. Photosynthesis
B. Root, 2. Water absorption
C. Stem, 3. Transport
D. Flower, 4. Reproduction
E. Fruit, 5. Protects seed
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Chloroplast, 1. Photosynthesis site
B. Guard cell, 2. Controls stomata
C. Xylem, 3. Transports water
D. Phloem, 4. Transports food
E. Cuticle, 5. Waxy layer
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Petal, 1. Attractive part of flower
B. Sepal, 2. Protects bud
C. Stamen, 3. Male organ
D. Carpel, 4. Female organ
E. Pistil, 5. Female organ
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Root, 1. Anchors plant
B. Stem, 2. Transports food and water
C. Leaf, 3. Photosynthesis
D. Flower, 4. Reproduction
E. Fruit, 5. Seed storage
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Phloem, 1. Transports food
B. Xylem, 2. Transports water
C. Guard cell, 3. Opens and closes stomata
D. Cuticle, 4. Prevents water loss
E. Chlorophyll, 5. Green pigment
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Taproot, 1. Main root thick and long
B. Fibrous root, 2. Many thin roots
C. Petiole, 3. Leaf stalk
D. Blade, 4. Flat part of leaf
E. Node, 5. Leaf attachment point
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Monocot, 1. One cotyledon
B. Dicot, 2. Two cotyledons
C. Wheat, 3. Monocot
D. Rose, 4. Dicot
E. Corn, 5. Monocot
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Stomata, 1. Gas exchange
B. Chlorophyll, 2. Photosynthesis
C. Xylem, 3. Water transport
D. Phloem, 4. Food transport
E. Cuticle, 5. Waxy layer on leaves
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Fruit, 1. Protects seeds
B. Seed, 2. Future plant
C. Flower, 3. Reproduction
D. Leaf, 4. Photosynthesis
E. Stem, 5. Transport
A-1,B-2,C-3,D-4,E-5
