Question,Answer
Match the following:,
A. Wood, 1. Solid
B. Water, 2. Liquid
C. Oxygen, 3. Gas
D. Iron, 4. Solid
E. Milk, 5. Liquid
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Sand, 1. Solid
B. Oil, 2. Liquid
C. Air, 3. Gas
D. Plastic, 4. Solid
E. Juice, 5. Liquid
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Stone, 1. Solid
B. Honey, 2. Liquid
C. Carbon dioxide, 3. Gas
D. Glass, 4. Solid
E. Milk, 5. Liquid
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Iron, 1. Metal
B. Copper, 2. Metal
C. Aluminium, 3. Metal
D. Rubber, 4. Non-metal
E. Wood, 5. Non-metal
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Air, 1. Gas
B. Water, 2. Liquid
C. Oil, 3. Liquid
D. Stone, 4. Solid
E. Cotton, 5. Solid
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Salt, 1. Solid
B. Milk, 2. Liquid
C. Oxygen, 3. Gas
D. Sugar, 4. Solid
E. Water, 5. Liquid
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Iron, 1. Magnetic
B. Steel, 2. Magnetic
C. Copper, 3. Non-magnetic
D. Wood, 4. Non-magnetic
E. Aluminium, 5. Non-magnetic
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Plastic, 1. Flexible
B. Rubber, 2. Elastic
C. Glass, 3. Hard and brittle
D. Iron, 4. Hard and strong
E. Paper, 5. Soft and flexible
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Ice, 1. Solid water
B. Steam, 2. Gaseous water
C. Water, 3. Liquid water
D. Oxygen, 4. Gas
E. Sand, 5. Solid
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Cotton, 1. Soft
B. Wool, 2. Warm
C. Iron, 3. Hard
D. Plastic, 4. Flexible
E. Stone, 5. Hard and heavy
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Oil, 1. Liquid
B. Vinegar, 2. Liquid
C. Air, 3. Gas
D. Wood, 4. Solid
E. Sugar, 5. Solid
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Copper, 1. Conductor
B. Aluminium, 2. Conductor
C. Iron, 3. Conductor
D. Rubber, 4. Insulator
E. Wood, 5. Insulator
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Water, 1. Liquid
B. Oil, 2. Liquid
C. Oxygen, 3. Gas
D. Ice, 4. Solid
E. Sand, 5. Solid
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Paper, 1. Non-metal
B. Stone, 2. Non-metal
C. Iron, 3. Metal
D. Copper, 4. Metal
E. Aluminium, 5. Metal
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Gas, 1. No fixed shape
B. Liquid, 2. Takes shape of container
C. Solid, 3. Fixed shape and volume
D. Sand, 4. Solid
E. Water, 5. Liquid
A-1,B-2,C-3,D-4,E-5
