Question,Answer
Match the fibres with their source,"A. Cotton - 1. Plant
B. Jute - 1. Plant
C. Wool - 2. Animal
D. Silk - 2. Animal
E. Nylon - 3. Synthetic"
Match the following fibres with their type,"A. Cotton - 1. Natural Fibre
B. Wool - 1. Natural Fibre
C. Silk - 1. Natural Fibre
D. Polyester - 2. Synthetic Fibre
E. Nylon - 2. Synthetic Fibre"
Match the following fibres with their characteristic,"A. Cotton - 1. Soft and Absorbent
B. Wool - 2. Warm and Elastic
C. Silk - 3. Shiny and Smooth
D. Jute - 4. Coarse and Strong
E. Polyester - 5. Durable and Wrinkle Resistant"
Match the following animals with the fibre obtained,"A. Sheep - 1. Wool
B. Silkworm - 2. Silk
C. Alpaca - 3. Wool
D. Goat (Cashmere) - 4. Cashmere
E. Camel - 5. Camel Hair"
Match the following fibres with their use,"A. Cotton - 1. Shirts and Bedsheets
B. Wool - 2. Sweaters and Blankets
C. Silk - 3. Sarees and Scarves
D. Jute - 4. Bags and Ropes
E. Polyester - 5. T-Shirts and Jackets"
Match the following processes with their description,"A. Spinning - 1. Turning fibres into yarn
B. Weaving - 2. Making cloth from yarn
C. Knitting - 3. Interlocking loops of yarn to make fabric
D. Dyeing - 4. Coloring the fabric
E. Felting - 5. Matting wool fibres together"
Match the following fibres with their origin,"A. Cotton - 1. Plant Seed Hair
B. Jute - 2. Plant Stem
C. Wool - 3. Animal Hair
D. Silk - 4. Insect Cocoon
E. Nylon - 5. Synthetic Material"
Match the following fabrics with their fibre,"A. Denim - 1. Cotton
B. Woollen Cloth - 2. Wool
C. Satin - 3. Silk
D. Nylon Cloth - 4. Nylon
E. Hessian - 5. Jute"
Match the following fibres with their feature,"A. Cotton - 1. Cool in Summer
B. Wool - 2. Warm in Winter
C. Silk - 3. Lustrous and Soft
D. Polyester - 4. Quick Dry and Durable
E. Jute - 5. Strong and Coarse"
Match the following steps with their order in making cloth,"A. Cultivation - 1. Growing plants or rearing animals
B. Harvesting - 2. Collecting fibres
C. Spinning - 3. Making yarn
D. Weaving/Knitting - 4. Making fabric
E. Dyeing - 5. Coloring the fabric"
Match the following fibres with care method,"A. Cotton - 1. Wash in Warm Water
B. Wool - 2. Hand Wash or Gentle Cycle
C. Silk - 3. Dry Clean or Hand Wash
D. Polyester - 4. Machine Wash
E. Jute - 5. Air Dry"
Match the following fibres with their strength,"A. Cotton - 1. Medium
B. Wool - 2. Medium
C. Silk - 3. High
D. Jute - 4. High
E. Nylon - 5. Very High"
Match the following fibres with their source region,"A. Cotton - 1. India, USA
B. Jute - 2. India, Bangladesh
C. Wool - 3. Australia, New Zealand
D. Silk - 4. China, India
E. Nylon - 5. Manufactured"
Match the following fibres with their biodegradability,"A. Cotton - 1. Biodegradable
B. Wool - 1. Biodegradable
C. Silk - 1. Biodegradable
D. Nylon - 2. Non-biodegradable
E. Polyester - 2. Non-biodegradable"
Match the following fibres with their advantage,"A. Cotton - 1. Comfortable and Soft
B. Wool - 2. Warm and Insulating
C. Silk - 3. Smooth and Elegant
D. Polyester - 4. Durable and Easy Care
E. Jute - 5. Strong and Eco-Friendly"
