Chapter,Question,Answer
Understanding Elementary Shapes,A square has 4 equal sides.,True
Understanding Elementary Shapes,A rectangle has 4 equal sides.,False
Understanding Elementary Shapes,All triangles have 3 sides.,True
Understanding Elementary Shapes,An equilateral triangle has all sides equal.,True
Understanding Elementary Shapes,An isosceles triangle has two equal sides.,True
Understanding Elementary Shapes,A scalene triangle has no equal sides.,True
Understanding Elementary Shapes,A circle has 2 corners.,False
Understanding Elementary Shapes,A square has 4 right angles.,True
Understanding Elementary Shapes,A rectangle has 2 right angles.,False
Understanding Elementary Shapes,A triangle can have only one right angle.,True
Understanding Elementary Shapes,A circle has infinite lines of symmetry.,True
Understanding Elementary Shapes,A rectangle has 4 lines of symmetry.,False
Understanding Elementary Shapes,A square has 2 lines of symmetry.,False
Understanding Elementary Shapes,A parallelogram has equal opposite sides.,True
Understanding Elementary Shapes,A rhombus has all sides equal.,True
Understanding Elementary Shapes,A trapezium has two parallel sides.,True
Understanding Elementary Shapes,A trapezium has all sides equal.,False
Understanding Elementary Shapes,A kite has two pairs of equal adjacent sides.,True
Understanding Elementary Shapes,A pentagon has 5 sides.,True
Understanding Elementary Shapes,A hexagon has 5 sides.,False
Understanding Elementary Shapes,A hexagon has 6 sides.,True
Understanding Elementary Shapes,A heptagon has 7 sides.,True
Understanding Elementary Shapes,A octagon has 8 sides.,True
Understanding Elementary Shapes,A nonagon has 10 sides.,False
Understanding Elementary Shapes,A circle has 360 degrees of angles.,True
Understanding Elementary Shapes,A semicircle has 180 degrees of angles.,True
Understanding Elementary Shapes,All rectangles are squares.,False
Understanding Elementary Shapes,All squares are rectangles.,True
Understanding Elementary Shapes,The diagonals of a rectangle are equal.,True
Understanding Elementary Shapes,The diagonals of a rhombus are equal.,False
Understanding Elementary Shapes,The diagonals of a square are equal.,True
Understanding Elementary Shapes,The diagonals of a parallelogram bisect each other.,True
Understanding Elementary Shapes,The diagonals of a kite are equal.,False
Understanding Elementary Shapes,A triangle can have at most 2 equal sides.,True
Understanding Elementary Shapes,A triangle can have all equal angles.,True
Understanding Elementary Shapes,A right-angled triangle has one angle equal to 90 degrees.,True
Understanding Elementary Shapes,An obtuse triangle has all angles less than 90 degrees.,False
Understanding Elementary Shapes,An acute triangle has all angles less than 90 degrees.,True
Understanding Elementary Shapes,A scalene triangle has equal angles.,False
Understanding Elementary Shapes,A circle has no sides.,True
Understanding Elementary Shapes,The perimeter of a square is 4 × side.,True
Understanding Elementary Shapes,The area of a rectangle is length × width.,True
Understanding Elementary Shapes,A triangle has four sides.,False
Understanding Elementary Shapes,All polygons have at least 3 sides.,True
Understanding Elementary Shapes,All quadrilaterals have 4 sides.,True
Understanding Elementary Shapes,A circle is a polygon.,False
Understanding Elementary Shapes,A regular polygon has all sides and angles equal.,True
Understanding Elementary Shapes,A polygon can have curved sides.,False
Understanding Elementary Shapes,A triangle has 180 degrees in total.,True
Understanding Elementary Shapes,A pentagon has 6 sides.,False
Understanding Elementary Shapes,The sum of interior angles of a quadrilateral is 360 degrees.,True
Understanding Elementary Shapes,The sum of interior angles of a triangle is 180 degrees.,True
