Chapter,Question,Answer
Ratio and Proportion,Ratio compares two quantities.,True
Ratio and Proportion,A ratio can be written as a fraction.,True
Ratio and Proportion,The ratio 3:4 is equal to 6:8.,True
Ratio and Proportion,The ratio 2:5 is equal to 4:12.,False
Ratio and Proportion,Proportion means two ratios are equal.,True
Ratio and Proportion,1:2 = 2:4,True
Ratio and Proportion,3:5 = 6:10,True
Ratio and Proportion,5:8 = 10:16,True
Ratio and Proportion,2:3 = 4:6,True
Ratio and Proportion,3:4 = 9:12,True
Ratio and Proportion,4:5 = 8:12,False
Ratio and Proportion,Ratio can compare quantities of same unit.,True
Ratio and Proportion,Ratio can compare quantities of different units.,True
Ratio and Proportion,Proportion can be solved by cross multiplication.,True
Ratio and Proportion,2/3 = 4/6,True
Ratio and Proportion,3/4 = 6/9,False
Ratio and Proportion,The ratio of 0:5 = 0,True
Ratio and Proportion,The ratio 5:0 is valid.,False
Ratio and Proportion,Proportion means two fractions are equal.,True
Ratio and Proportion,If a:b = c:d, then ad = bc.,True
Ratio and Proportion,If 3:4 = 6:7, it is true.,False
Ratio and Proportion,The ratio of 5 kg to 10 kg is 1:2,True
Ratio and Proportion,The ratio 10:5 = 1:2,False
Ratio and Proportion,Proportion can be used to solve word problems.,True
Ratio and Proportion,3:6 = 1:2,True
Ratio and Proportion,7:14 = 1:2,True
Ratio and Proportion,4:6 = 2:3,True
Ratio and Proportion,5:10 = 1:2,True
Ratio and Proportion,6:8 = 3:4,True
Ratio and Proportion,9:12 = 3:4,True
Ratio and Proportion,2:3 + 4:6 = 6:9,False
Ratio and Proportion,1:4 = 2:8,True
Ratio and Proportion,5:15 = 1:3,True
Ratio and Proportion,2:5 = 4:10,True
Ratio and Proportion,3:7 = 6:14,True
Ratio and Proportion,4:9 = 8:18,True
Ratio and Proportion,7:8 = 14:16,True
Ratio and Proportion,3:5 = 6:11,False
Ratio and Proportion,1:1 = 2:2,True
Ratio and Proportion,Ratio can be simplified.,True
Ratio and Proportion,Ratio 8:12 = 2:3,True
Ratio and Proportion,5:20 = 1:4,True
Ratio and Proportion,10:15 = 2:3,True
Ratio and Proportion,Proportion is used in recipes.,True
Ratio and Proportion,Proportion is used in map scales.,True
Ratio and Proportion,Ratio 0:7 = 0,True
Ratio and Proportion,Ratio 7:0 = 0,False
Ratio and Proportion,1:2 + 1:2 = 2:4,False
Ratio and Proportion,2:3 = 4:6 = 6:9,False
Ratio and Proportion,3:7 = 9:21,True
Ratio and Proportion,4:5 = 8:10,True
Ratio and Proportion,2:3 > 1:2,True
Ratio and Proportion,3:4 < 6:8,False
Ratio and Proportion,5:6 = 10:12,True
Ratio and Proportion,7:9 = 14:18,True
Ratio and Proportion,3:5 = 9:15,True
