Chapter,Question,Answer
Practical Geometry,A ruler is used to draw straight lines.,True
Practical Geometry,A compass is used to draw circles.,True
Practical Geometry,A protractor measures angles.,True
Practical Geometry,A square can be drawn using only a compass.,False
Practical Geometry,A triangle can be drawn using a ruler and compass.,True
Practical Geometry,A circle can be drawn using a ruler.,False
Practical Geometry,All sides of a regular polygon are equal.,True
Practical Geometry,All angles of a regular polygon are equal.,True
Practical Geometry,A perpendicular bisector divides a line segment into two equal parts.,True
Practical Geometry,A perpendicular bisector is always at right angles to the line.,True
Practical Geometry,A median of a triangle joins a vertex to the midpoint of opposite side.,True
Practical Geometry,Altitude of a triangle is perpendicular from a vertex to opposite side.,True
Practical Geometry,A square has 2 diagonals.,True
Practical Geometry,A rectangle has 2 diagonals.,True
Practical Geometry,The diagonals of a square are equal.,True
Practical Geometry,The diagonals of a rhombus are equal.,False
Practical Geometry,The diagonals of a rectangle bisect each other.,True
Practical Geometry,The diagonals of a rhombus bisect each other at right angles.,True
Practical Geometry,All triangles can have a circumcircle.,True
Practical Geometry,All quadrilaterals have perpendicular bisectors intersecting at the center.,False
Practical Geometry,Compass can measure distances.,True
Practical Geometry,A protractor measures angles in degrees.,True
Practical Geometry,An angle less than 90° is called acute angle.,True
Practical Geometry,An angle equal to 90° is called right angle.,True
Practical Geometry,An angle greater than 90° is called obtuse angle.,True
Practical Geometry,A straight angle is 180°.,True
Practical Geometry,A reflex angle is more than 180°,True
Practical Geometry,All circles are congruent if radius is same.,True
Practical Geometry,All squares are rectangles.,True
Practical Geometry,All rectangles are squares.,False
Practical Geometry,A parallelogram has 4 sides.,True
Practical Geometry,A parallelogram has opposite sides equal and parallel.,True
Practical Geometry,A trapezium has exactly one pair of parallel sides.,True
Practical Geometry,A kite has two pairs of adjacent equal sides.,True
Practical Geometry,A rhombus has four equal sides.,True
Practical Geometry,A rhombus is always a square.,False
Practical Geometry,A circle has no sides.,True
Practical Geometry,Perimeter is total distance around a figure.,True
Practical Geometry,Area is space inside a figure.,True
Practical Geometry,Constructing perpendicular line can be done with compass and ruler.,True
Practical Geometry,Bisecting an angle divides it into two equal parts.,True
Practical Geometry,All angles of a triangle add up to 180°,True
Practical Geometry,All angles of a quadrilateral add up to 360°,True
Practical Geometry,Sum of exterior angles of polygon is 360°,True
Practical Geometry,Radius is distance from center to circumference.,True
Practical Geometry,Diameter is twice the radius.,True
Practical Geometry,Chord is a line joining two points on a circle.,True
Practical Geometry,Tangent touches a circle at one point.,True
Practical Geometry,Secant passes through the center of a circle.,False
Practical Geometry,Perpendicular from center to chord bisects the chord.,True
Practical Geometry,Constructing triangle needs 3 sides, or 2 sides and included angle.,True
Practical Geometry,All quadrilaterals have a circle passing through all vertices.,False
Practical Geometry,All triangles have a circumcircle.,True
