Chapter,Question,Answer
Algebra,A variable is a symbol that represents a number.,True
Algebra,An algebraic expression can have numbers and variables.,True
Algebra,The letter x can be used as a variable.,True
Algebra,2x + 3 is an algebraic expression.,True
Algebra,5 + 2 is an algebraic expression.,False
Algebra,Coefficient is the number multiplied with a variable.,True
Algebra,In 7y, 7 is the coefficient.,True
Algebra,In 4a + 3, 4 is coefficient of a.,True
Algebra,In 3x + 5y, 3 and 5 are coefficients.,True
Algebra,Like terms have same variables and powers.,True
Algebra,Unlike terms have same variables.,False
Algebra,3x + 2x = 5x.,True
Algebra,2a + 3b = 5ab.,False
Algebra,5x - 2x = 3x.,True
Algebra,2y - 3y = -y.,True
Algebra,Substituting x = 2 in 3x gives 6.,True
Algebra,Substituting y = 4 in 2y + 3 gives 11.,True
Algebra,Algebraic identity is an equality true for all values of variable.,True
Algebra,(a + b)² = a² + b²,False
Algebra,(a + b)² = a² + 2ab + b²,True
Algebra,(a - b)² = a² - 2ab + b²,True
Algebra,(x + y)(x - y) = x² + y²,False
Algebra,(x + y)(x - y) = x² - y²,True
Algebra,Expanding 2(x + 3) gives 2x + 3,False
Algebra,Expanding 2(x + 3) gives 2x + 6,True
Algebra,3(a + b) = 3a + 3b,True
Algebra,Distributive property: a(b + c) = ab + ac,True
Algebra,a + a = 2a,True
Algebra,a + b = b + a,True
Algebra,(a + b) + c = a + (b + c),True
Algebra,7x + 3y + 2x = 9x + 3y,True
Algebra,2x + 3y + 5 = 2x + 3y + 5,True
Algebra,2x + 3y = 3y + 2x,True
Algebra,3x - x = 2x,True
Algebra,5a - 2a = 2a,False
Algebra,2x × 3x = 5x²,False
Algebra,2x × 3x = 6x²,True
Algebra,(2x)² = 4x²,True
Algebra,(3a)² = 9a²,True
Algebra,2x + 3x = 6x,False
Algebra,5y - 2y = 3y,True
Algebra,2(x + y) = 2x + 2y,True
Algebra,3(a - b) = 3a - 3b,True
Algebra,(x + y + z) - y = x + z,True
Algebra,2a + 3b + 5a = 7a + 3b,True
Algebra,Substituting x = 0 in 5x + 3 gives 3.,True
Algebra,(a - b)² = a² - b²,False
Algebra,(x + y)² = x² + y² + 2xy,True
Algebra,3x × 0 = 0,True
Algebra,0 × (a + b) = 0,True
Algebra,Adding like terms increases the degree of expression.,False
Algebra,2x² + 3x² = 5x²,True
Algebra,2ab + 3ab = 5ab,True
