Question,Answer
A figure is symmetric if one half is a mirror image of the other.,True
A square has 4 lines of symmetry.,True
A rectangle has 2 lines of symmetry.,True
A circle has infinite lines of symmetry.,True
An equilateral triangle has 3 lines of symmetry.,True
An isosceles triangle has 1 line of symmetry.,False
A scalene triangle has no line of symmetry.,True
The letter A has vertical symmetry.,True
The letter M has vertical symmetry.,True
The letter T has vertical symmetry.,True
The letter H has vertical symmetry.,True
The letter O has vertical and horizontal symmetry.,True
The letter V has vertical symmetry.,True
The letter W has vertical symmetry.,True
The letter X has two lines of symmetry.,True
The letter Y has one line of symmetry.,True
The letter Z has no line of symmetry.,True
Symmetry in nature can be bilateral.,True
Symmetry in nature can be radial.,True
A circle has rotational symmetry.,True
A square has rotational symmetry of order 4.,True
An equilateral triangle has rotational symmetry of order 3.,True
A rectangle has rotational symmetry of order 2.,True
A scalene triangle has rotational symmetry.,False
All letters in the alphabet have line symmetry.,False
A kite has one line of symmetry.,True
A regular pentagon has 5 lines of symmetry.,True
A regular hexagon has 6 lines of symmetry.,True
A regular octagon has 8 lines of symmetry.,True
A rectangle has two lines of symmetry.,True
A parallelogram has line symmetry.,False
A rhombus has two lines of symmetry.,True
A circle has rotational symmetry of infinite order.,True
Bilateral symmetry divides the figure into two identical halves.,True
Radial symmetry is symmetry about a central point.,True
Butterflies exhibit bilateral symmetry.,True
Sunflowers exhibit radial symmetry.,True
Line symmetry is also called mirror symmetry.,True
Rotational symmetry is also called turn symmetry.,True
All shapes have symmetry.,False
The order of rotational symmetry is the number of times a figure coincides with itself in one full rotation.,True
The line joining two symmetrical points is perpendicular to the line of symmetry.,True
Reflection symmetry is when the mirror image coincides with original.,True
A pentagon can have rotational symmetry.,True
A hexagon can have both line and rotational symmetry.,True
A circle has no line symmetry.,False
A square has rotational symmetry of 90°,True
A rectangle has rotational symmetry of 180°,True
Equilateral triangles are always symmetrical.,True
Scalene triangles are never symmetrical.,True
Symmetry helps in art and architecture.,True
