Question,Answer
Describe the friendship between Jumman and Algu.,They were close friends but their friendship was tested by justice.
Why did Jumman’s aunt give him her property?,In return for care.
How did Jumman betray his aunt’s trust?,By neglecting her.
Explain the importance of the panchayat.,It ensures justice in villages.
Why was Algu chosen as panch?,He was honest.
Explain Algu’s decision.,He ruled in favour of the aunt.
Why did Jumman feel betrayed?,He expected favouritism.
How did friendship affect Jumman’s thinking?,He wanted biased judgment.
Why did Algu value justice over friendship?,Because fairness is essential.
Explain the second conflict.,Algu was cheated by Samjhu.
Why was Jumman chosen as panch later?,By villagers.
What dilemma did Jumman face?,Friendship vs justice.
Why did Jumman choose justice?,His conscience guided him.
How did this judgment change Jumman?,He became fair.
Explain how friendship was restored.,Through fairness.
What does the story say about conscience?,It guides moral decisions.
Why is fairness difficult?,Personal emotions interfere.
Explain how power should be used.,Responsibly.
Why is moral courage important?,To do right.
Explain how justice brings peace.,It resolves conflict.
Why is the story relevant today?,Justice is always needed.
How did the villagers ensure fairness?,By choosing honest panch.
Explain the role of elders.,They deserve respect.
Why is neglecting elders wrong?,It is immoral.
Explain how greed affects relationships.,It destroys trust.
Why is impartial judgment important?,For equality.
How did Jumman realize his mistake?,By judging fairly.
Explain the importance of trust.,It builds relationships.
Why did Algu feel helpless?,He feared injustice.
Explain how justice restored friendship.,By fairness.
Why should judges ignore personal feelings?,To be fair.
How does the story show equality?,Justice applies to all.
Explain moral responsibility.,Acting right.
Why is revenge discouraged?,It causes harm.
Explain social justice.,Fair treatment.
Why is honesty essential?,Builds society.
Explain the role of ethics.,Guide decisions.
Why does the story emphasize conscience?,It guides action.
Explain character growth.,Jumman learns.
Why is the aunt symbolic?,Represents helpless.
Explain village justice system.,Panchayat.
Why does power test character?,Reveals values.
Explain moral dilemma.,Choice between right and wrong.
Why is the story inspiring?,Shows moral victory.
Explain impact of fair judgment.,Restores trust.
Why should elders be protected?,They depend on others.
Explain why justice should be neutral.,Fairness.
Why is forgiveness important?,Heals relationships.
Explain story’s central theme.,Fair play.
