Question,Answer
Who was Kalpana Chawla?,Kalpana Chawla was an Indian-American astronaut and the first woman of Indian origin to go to space.
Where was Kalpana Chawla born?,She was born in Karnal, Haryana, India.
What was Kalpana Chawla’s dream?,Her dream was to fly and go to space.
Which subject did Kalpana study?,She studied aeronautical engineering.
Where did Kalpana go for higher studies?,She went to the United States for higher studies.
Why did Kalpana choose aeronautical engineering?,She loved flying and aircrafts.
Which space agency did Kalpana work for?,She worked for NASA.
Which was Kalpana Chawla’s first space mission?,Her first space mission was on the Space Shuttle Columbia in 1997.
How many days did her first mission last?,Her first mission lasted 16 days.
What experiments did Kalpana conduct in space?,She conducted experiments related to space science and microgravity.
Why was Kalpana proud of her Indian origin?,She always remembered her roots and inspired Indian students.
What was Kalpana’s message to students?,She encouraged students to pursue their dreams with dedication.
Which was Kalpana Chawla’s second space mission?,Her second mission was STS-107 aboard Columbia.
What happened to the space shuttle Columbia?,The shuttle broke apart during re-entry into the Earth’s atmosphere.
When did the Columbia accident occur?,The accident occurred on 1 February 2003.
How did Kalpana Chawla die?,She died in the Columbia space shuttle disaster.
Why is Kalpana Chawla remembered?,She is remembered for her courage and achievements.
What qualities did Kalpana have?,She was determined, hardworking, and brave.
How did Kalpana inspire students?,She showed that dreams can be achieved through hard work.
What does the chapter teach us?,The chapter teaches us to dream big and work hard.
Why is Kalpana called a role model?,She achieved success through dedication.
What was Kalpana’s childhood interest?,She was interested in flying.
How did Kalpana’s education help her?,It helped her become an astronaut.
What is NASA?,NASA is the space agency of the United States.
Why did Kalpana move to America?,For higher education and career.
How many missions did Kalpana fly?,She flew two space missions.
What was special about her first mission?,She became the first Indian-origin woman in space.
Why was her death a great loss?,She was an inspiration to many.
What lesson do we learn from her life?,Never give up on dreams.
How did Kalpana show courage?,By participating in risky space missions.
Why is space travel challenging?,It involves risk and danger.
What was Kalpana’s profession?,She was an astronaut.
How did Kalpana balance identity?,She remained connected to India while working in America.
What message does the chapter give girls?,Girls can achieve anything.
Why did Kalpana love science?,It helped her understand space.
What role did education play?,It shaped her success.
Why was Kalpana respected globally?,For her achievements in space.
How did Kalpana motivate youth?,By setting an example.
Why is the chapter inspirational?,It tells a success story.
What kind of student was Kalpana?,She was hardworking.
What obstacle did she overcome?,Gender and distance barriers.
Why should students read this chapter?,To get inspired.
What does space symbolize in the story?,Dreams and ambition.
How did Kalpana serve humanity?,Through space research.
Why is her story important?,It inspires future scientists.
What did Kalpana believe in?,Hard work and perseverance.
Why is her life a lesson?,Success comes with effort.
What values does the chapter highlight?,Determination and courage.
How does the chapter end?,With her inspiring legacy.
