Question,Answer
Who is the main character of the story?,The main character of the story is Rasheed.
Where does the story take place?,The story takes place at a village fair.
Why did Rasheed go to the fair?,Rasheed went to the fair to enjoy and have fun.
What attracted Rasheed at the fair?,The lucky draw game attracted Rasheed.
What was the name of the shopkeeper?,The shopkeeper was called the trickster.
What did the shopkeeper promise?,He promised prizes in the lucky draw.
What did Rasheed need to play the game?,He needed to pay money.
What prize did Rasheed win first?,He won cheap and useless items.
Why did Rasheed continue playing?,He hoped to win a big prize.
Did Rasheed win anything valuable?,No, he did not win anything valuable.
What happened to Rasheed’s money?,He lost all his money.
Why was the game unfair?,The shopkeeper cheated the players.
How did the shopkeeper trick people?,He made them believe they could win.
Who warned Rasheed?,A man warned Rasheed.
Did Rasheed listen to the warning?,No, he ignored it.
What did Rasheed learn at the end?,He learned not to trust games of chance.
What is the moral of the story?,Do not fall into greed.
Why is the game called a game of chance?,Because winning depended on luck.
What kind of person was Rasheed?,He was curious and greedy.
Why did Rasheed feel disappointed?,He lost money without winning.
How did the shopkeeper behave?,He was clever and dishonest.
Why were people fooled?,They were tempted by prizes.
What lesson does the story teach?,Avoid gambling.
Why is gambling dangerous?,It leads to loss.
What did Rasheed expect?,To win something big.
How did the fair look?,It was crowded and colorful.
Why did Rasheed not stop early?,Hope of winning.
What kind of prizes were given?,Useless items.
Why was the warning important?,It could save money.
How did Rasheed feel at the end?,Regretful.
Why is luck unreliable?,It cannot be trusted.
What mistake did Rasheed make?,He trusted chance.
How does the story end?,With Rasheed learning a lesson.
Why is the story realistic?,Such tricks exist.
What does the shopkeeper represent?,Cheaters.
Why are such games harmful?,They exploit people.
How can people avoid such traps?,By being careful.
Why should children learn this lesson?,To avoid gambling.
What is Rasheed’s weakness?,Greed.
Why did Rasheed ignore advice?,Excitement.
What does the story warn against?,Blind trust.
How did Rasheed’s excitement affect him?,He lost control.
Why is patience important?,Avoid mistakes.
What role does chance play?,False hope.
Why should money be used wisely?,To avoid loss.
What is the theme of the story?,Greed and deception.
Why is the story suitable for children?,It teaches caution.
