Question,Answer
What is the poem "Vocation" about?,The poem is about a child imagining different professions.
Who wrote the poem?,The poem was written by Rabindranath Tagore.
Who is the speaker in the poem?,A young child is the speaker.
What does the child see first?,The child sees a hawker.
What does the hawker do?,He sells bangles.
Why does the child want to be a hawker?,He feels the hawker is free.
What does the child see next?,A gardener.
Why does the child like the gardener?,He works freely in the garden.
What does the gardener do?,He digs the ground.
Why does the child admire the gardener?,He works without restriction.
Who is the third person the child observes?,A watchman.
What does the watchman do?,He walks around at night.
Why does the child want to be a watchman?,He likes the idea of staying awake.
What time does the watchman work?,At night.
Why does the child dislike being a student?,He feels restricted by school rules.
What does the child associate with freedom?,Working freely.
Why does the child admire working people?,They seem independent.
What feeling dominates the poem?,Desire for freedom.
What kind of poem is "Vocation"?,A reflective poem.
Why does the child feel school is boring?,Because of rules.
What does the poem show about childhood?,Children dream freely.
Why does the child change professions?,Curiosity.
What is the main theme of the poem?,Freedom and imagination.
Why does the child envy adults?,They seem free.
What does the hawker symbolize?,Freedom.
What does the gardener symbolize?,Joyful work.
What does the watchman symbolize?,Adventure.
Why does the child imagine different jobs?,Curiosity and freedom.
What does the poem teach?,Value freedom.
Why is the child unhappy with school?,Strict discipline.
What does the child value most?,Independence.
Why is imagination important?,It creates dreams.
What kind of language is used?,Simple.
Why is the poem relatable?,Children imagine adulthood.
What does the poem say about work?,Work can be enjoyable.
Why does the child want to grow up?,To be free.
What role does freedom play?,Central theme.
Why does the child admire night?,Mystery.
What does the poem show about discipline?,Children resist it.
Why does the child want change?,Routine bores him.
What is childhood curiosity?,Exploring possibilities.
Why is the poem gentle?,Child’s voice.
What does the poem say about dreams?,They are endless.
Why is the poem inspiring?,Encourages imagination.
What does the child dislike?,Restrictions.
Why does the poem end with watchman?,Symbol of ultimate freedom.
What message does the poem give?,Freedom matters.
Why is the poem meaningful?,Reflects childhood thoughts.
What is the tone of the poem?,Innocent.
Why should students read this poem?,Relatable feelings.
