Question,Answer
Explain the central idea of the poem.,The poem celebrates the beauty, power, and creativity of words.
Why does the poet encourage children to use words?,To express imagination.
How do words help in creative thinking?,They form ideas.
Explain metaphor used for words.,Bright and colourful.
Why does the poet compare words to lights?,They illuminate thoughts.
Explain importance of vocabulary.,Enhances expression.
Why does the poet focus on children?,Encourage creativity early.
Explain how words affect emotions.,They convey feelings.
Why are words considered tools?,They shape communication.
Explain role of imagination.,Words create worlds.
Why does poet use playful tone?,Encouragement.
Explain why words are free.,No limit to use.
Why does poem avoid complexity?,Accessibility.
Explain how words connect people.,Shared meaning.
Why are words essential in learning?,Communication.
Explain poet’s advice.,Use words boldly.
Why are words beautiful?,They create images.
Explain relationship between words and thoughts.,Words express thoughts.
Why is creativity important?,Enhances expression.
Explain why poem uses imagery.,Visual impact.
Why does poet repeat encouragement?,Motivation.
Explain importance of choosing right words.,Meaning clarity.
Why are words compared to colours?,Add vibrancy.
Explain poem’s relevance today.,Communication age.
Why is language powerful?,Shapes reality.
Explain joy of expression.,Sharing ideas.
Why does poet avoid strict rules?,Encourage freedom.
Explain role of words in poetry.,Core element.
Why is poem inspirational?,Motivates creativity.
Explain how words bring ideas alive.,Visualization.
Why does poet use simple words?,Clarity.
Explain emotional impact.,Positive.
Why does poem promote confidence?,Fearless expression.
Explain theme of creativity.,Main focus.
Why is imagination emphasized?,Source of creativity.
Explain poet’s tone.,Encouraging.
Why does poet praise words?,Their versatility.
Explain how words influence thinking.,Frame ideas.
Why are words dynamic?,Flexible usage.
Explain importance of expression.,Mental health.
Why does poet address children directly?,Engagement.
Explain role of freedom.,Creative growth.
Why is poem memorable?,Positive message.
Explain final advice.,Use words creatively.
