Question,Answer
What is a desert?,A desert is a very dry area with little rainfall and extreme temperatures.
Why are deserts hot during the day?,Because they receive direct sunlight and have little moisture.
Why are deserts cold at night?,Because heat escapes quickly due to lack of moisture.
What kind of animals live in deserts?,Animals adapted to survive in hot and dry conditions.
Why do desert animals need special adaptations?,To survive extreme heat and lack of water.
What is the most common desert animal?,The camel is the most common desert animal.
Why is the camel called the ship of the desert?,Because it helps people travel across deserts easily.
How does a camel survive without water?,It stores fat in its hump.
What do desert snakes eat?,They eat insects, lizards, and small animals.
How do desert animals protect themselves from heat?,By resting in burrows or shade.
What is a rattlesnake?,A poisonous desert snake.
Why do rattlesnakes shake their tails?,To warn enemies.
What is a mongoose?,A small animal found in deserts.
Why is the mongoose special?,It can fight poisonous snakes.
What kind of birds live in deserts?,Birds that can survive with little water.
Why do desert animals come out at night?,To avoid daytime heat.
What is nocturnal behavior?,Being active at night.
Why do desert animals have thick skin?,To prevent water loss.
What do desert lizards eat?,They eat insects.
How do desert insects survive?,By conserving water.
Why is water important for animals?,It helps them survive.
What do desert animals drink?,They drink very little water.
Why do animals dig burrows?,To stay cool.
What is the desert fox called?,The fennec fox.
Why does the fennec fox have large ears?,To release heat.
How do desert animals avoid predators?,By hiding or camouflage.
What is camouflage?,Blending with surroundings.
Why are desert animals light-colored?,To reflect sunlight.
What role does sand play?,It increases heat.
Why are deserts harsh environments?,Extreme temperatures.
What do desert animals eat?,Plants and small animals.
How do camels walk on sand?,With broad padded feet.
Why do camels have long eyelashes?,To protect eyes from sand.
What is adaptation?,A feature that helps survival.
Why are reptiles common in deserts?,They need less water.
How do desert birds get water?,From food.
Why are deserts sparsely populated?,Lack of water.
How do desert animals sleep?,In shade or burrows.
What is survival?,Living in tough conditions.
Why do camels kneel?,To rest.
Why is desert life difficult?,Scarce resources.
How do animals store energy?,In fat.
Why do desert animals eat at night?,Cooler temperature.
What is the main challenge in deserts?,Water scarcity.
How do animals conserve water?,Minimal sweating.
Why do desert animals move slowly?,To save energy.
What is the lesson of the chapter?,Adaptation helps survival.
