Question,Answer
What are the two main sources of food?,Plants and animals
Give two examples of food obtained from plants.,Fruits, vegetables
Give two examples of food obtained from animals.,Milk, eggs
Which part of the plant do we eat as food?,Roots, stems, leaves, flowers, fruits, or seeds
Name a leafy vegetable we eat.,Spinach
Name a root vegetable we eat.,Carrot
Name a fruit we eat.,Mango
Which part of a plant gives us sugar?,Stem (like sugarcane)
Which animal product is used to make cheese?,Milk
What is honey made by?,Bees
Name one cereal we get from plants.,Wheat
Name one pulse we get from plants.,Lentil
Which animal gives us wool?,Sheep
Which animal gives us eggs?,Hen
Which animal gives us milk?,Cow
What do we get from fish?,Meat and protein
Give one example of edible seed.,Pea
Give one example of edible nut.,Almond
Which part of the plant is cotton obtained from?,Seed
Which plant product is used to make oil?,Seeds (like sunflower, groundnut)
Name one leafy vegetable rich in vitamins.,Spinach
Which food group gives us energy?,Carbohydrates
Which food group builds our body?,Proteins
Which food group protects us from diseases?,Vitamins and minerals
Which mineral is found in milk?,Calcium
Name one food rich in iron.,Spinach
Which food is rich in calcium?,Milk
Give one example of food rich in carbohydrates.,Rice
Give one example of food rich in proteins.,Egg
Which food helps in keeping teeth strong?,Milk
Which food helps in keeping bones strong?,Milk
Which food helps in keeping skin healthy?,Fruits
Which food is obtained from wheat?,Bread
Which food is obtained from rice?,Rice grains
Which plant product is used as spice?,Turmeric
Which food is obtained from animals and used for clothing?,Wool
Which plant product is used to make ropes?,Jute
Which plant product is used to make mats?,Coir
Which plant product is used in making tea?,Tea leaves
Which food is obtained from cow and used to make butter?,Milk
Which fruit is rich in vitamin C?,Orange
Which vegetable is rich in vitamin A?,Carrot
Which food is used to make sugar?,Sugarcane
Which food is obtained from sheep and used for clothing?,Wool
Which seeds give us edible oil?,Sunflower, groundnut
Which plant gives us fiber for making clothes?,Cotton
Which food is rich in carbohydrates?,Rice
Which food is rich in proteins?,Eggs
Which food is rich in vitamins?,Fruits
Which food is rich in minerals?,Vegetables
Name one food that comes from water animals.,Fish
Which food is obtained from honeybee?,Honey
Which food is used to make chocolate?,Cocoa
