Question,Answer
What is the main source of carbohydrates?,Cereals and grains
Name two sources of proteins.,Milk and eggs
Which nutrient provides energy to the body?,Carbohydrates
Name a source of fats.,Butter
Which nutrient helps in growth and repair of the body?,Proteins
What is the main source of vitamins?,Fruits and vegetables
Which nutrient helps in preventing diseases?,Vitamins
Name a source of minerals.,Green leafy vegetables
Which nutrient helps in proper functioning of the body?,Minerals
Which nutrient is needed in large quantity for energy?,Carbohydrates
Give one example of a plant source of protein.,Soybean
Give one example of an animal source of protein.,Eggs
Which food nutrient is required in small quantity?,Vitamins
Name a food that provides both protein and fat.,Cheese
Which nutrient is important for strong bones?,Calcium
Which nutrient helps in blood clotting?,Vitamin K
Which nutrient is needed for healthy eyes?,Vitamin A
Which nutrient helps in wound healing?,Vitamin C
Which nutrient provides insulation to the body?,Fats
Which nutrient is important for muscle development?,Proteins
Which vitamin is obtained from sunlight?,Vitamin D
Which mineral is essential for making hemoglobin?,Iron
Give one example of carbohydrate-rich food.,Rice
Which nutrient is stored as body fat?,Fats
Which food provides dietary fiber?,Vegetables and fruits
Why do we need water in our diet?,To maintain body temperature and hydration
Which nutrient helps in digestion?,Fiber
Name a protein-rich pulse.,Lentils
Which food is rich in Vitamin C?,Orange
Which food is rich in Vitamin A?,Carrot
Which food is rich in Calcium?,Milk
Which nutrient is important for energy and warmth?,Fats
Give one example of fatty food.,Butter
Name one source of iron.,Spinach
Which nutrient helps in keeping skin healthy?,Vitamins
Which nutrient helps in nerve function?,Minerals
Which food provides all nutrients?,Balanced diet
Which nutrient deficiency causes rickets?,Vitamin D
Which nutrient deficiency causes anemia?,Iron
Which nutrient deficiency causes scurvy?,Vitamin C
Which nutrient deficiency causes night blindness?,Vitamin A
Which nutrient helps in maintaining fluid balance?,Minerals
Name a source of complex carbohydrates.,Whole grains
Name a source of simple carbohydrates.,Sugar
Which nutrient is important for teeth?,Calcium
Which nutrient deficiency causes weak bones?,Calcium
Which nutrient helps in blood formation?,Iron
Which food provides proteins and carbohydrates together?,Legumes with rice
Which nutrient deficiency affects immunity?,Protein
Which nutrient deficiency affects growth in children?,Proteins
Which nutrient is important for brain development?,Fats
