Question,Answer
What is air?,A mixture of gases
What are the main components of air?,Nitrogen and oxygen
Which gas is present in highest amount in air?,Nitrogen
Which gas is needed for breathing?,Oxygen
Which gas is used by plants for photosynthesis?,Carbon dioxide
Which gas is released by plants?,Oxygen
What is water vapour?,Gaseous form of water in air
What is dust in air?,Tiny solid particles
What is smoke?,Polluted air with harmful gases
What is air pollution?,Contamination of air
Name one cause of air pollution.,Vehicle smoke
Name one effect of air pollution.,Breathing problems
Why is air important for living beings?,For breathing and survival
Why is oxygen important?,For respiration
Why is carbon dioxide important?,For photosynthesis
Why is nitrogen important?,For plant growth
What is respiration?,Process of breathing in oxygen and releasing carbon dioxide
What is photosynthesis?,Process by which plants make food
Do all living beings need air?,Yes
Can fish breathe air?,No, they use dissolved oxygen
What is dissolved oxygen?,Oxygen mixed in water
Why do aquatic animals need dissolved oxygen?,For respiration
What is wind?,Moving air
What causes wind?,Uneven heating of air
What is atmosphere?,Layer of air around Earth
What is humidity?,Amount of water vapour in air
What happens when air is heated?,It expands and rises
What happens when air is cooled?,It contracts and sinks
What is hot air?,Air with higher temperature
What is cold air?,Air with lower temperature
Which air is lighter?,Hot air
Which air is heavier?,Cold air
What is breeze?,Gentle wind
What is storm?,Strong wind
Why do leaves rustle?,Due to moving air
Why does a balloon inflate?,Because of air inside
Can air be felt?,Yes, when it moves
Can air be seen?,No
Does air occupy space?,Yes
Does air have weight?,Yes
What happens when air is trapped?,It exerts pressure
What is air pressure?,Force exerted by air
Why do we feel cool under fan?,Moving air increases evaporation
Why do clothes dry faster in wind?,Faster evaporation
What is oxygen cylinder?,Source of oxygen for patients
What is smoke harmful?,It contains poisonous gases
How can we reduce air pollution?,Use public transport
Why should we plant trees?,They give oxygen
What happens if oxygen decreases?,Living beings will suffer
What is composition of air?,Different gases mixed together
What is clean air?,Air free from pollutants
