Question,Answer
What is a luminous object?,An object that produces its own light.
Give two examples of luminous objects.,Sun and electric bulb.
What is a non-luminous object?,An object that does not produce its own light.
Give two examples of non-luminous objects.,Book and chair.
Why are non-luminous objects visible?,Because they reflect light from luminous sources.
What is a source of light?,Any object that emits light.
What is reflection of light?,Bouncing back of light from a surface.
Which surface reflects light regularly?,Smooth and shiny surfaces like mirrors.
Which surface gives diffused reflection?,Rough surfaces like wall or paper.
What is a mirror?,A smooth polished reflecting surface.
What is shadow?,A dark region formed when light is blocked by an opaque object.
What is umbra?,The completely dark part of a shadow.
What is penumbra?,The partially dark part of a shadow.
Why is a shadow always dark?,Because light is absent in that region.
Can transparent objects form shadows?,No, they allow most light to pass.
Do translucent objects form shadows?,Yes, faint shadows are formed.
Why does the size of shadow change?,Because of change in distance between light source, object and screen.
What happens to shadow when object moves closer to light source?,Shadow becomes larger.
What happens to shadow when object moves closer to screen?,Shadow becomes smaller.
What is the shape of a shadow?,It depends on the shape of the object.
Does the colour of object affect the shadow?,No, shadow is always dark.
What is a pinhole camera?,A simple device that forms an inverted image.
Why is image in pinhole camera inverted?,Because light travels in straight lines.
What is rectilinear propagation of light?,Light travels in straight lines.
What is an image?,A reproduction of an object formed by light.
What kind of image is formed in a plane mirror?,Virtual and erect image.
Is the image in a plane mirror laterally inverted?,Yes, left and right are interchanged.
What is lateral inversion?,Left-right reversal in mirror image.
What is a real image?,An image that can be obtained on a screen.
Is the image in a plane mirror real?,No, it is virtual.
Can we obtain shadow in complete darkness?,No, light source is needed.
What is an opaque object?,Object that does not allow light to pass.
Give examples of opaque objects.,Wood and stone.
What is a transparent object?,Object that allows most light to pass.
Give examples of transparent objects.,Clear glass and water.
What is a translucent object?,Object that allows partial light to pass.
Give examples of translucent objects.,Butter paper and frosted glass.
Why do we need light to see objects?,Light reflected from objects enters our eyes.
Can we see objects in complete darkness?,No.
Why do we see our reflection in mirror?,Because mirror reflects light regularly.
What is a reflecting surface?,Surface that reflects light.
What happens when light falls on a rough surface?,It scatters in different directions.
Why do we not see clear images on walls?,Because walls cause diffused reflection.
What happens when light falls on an opaque object?,It forms a shadow.
What is screen in shadow formation?,Surface on which shadow is formed.
Can shadow be coloured?,No, shadow has no colour.
What determines sharpness of shadow?,Distance and size of light source.
What is a point source of light?,Very small source of light like candle flame.
What is an extended source of light?,Large source like tube light.
Which source gives sharp shadow?,Point source of light.
Which source gives blurred shadow?,Extended source of light.
Why is Sun an extended source of light?,Because it has large size.
What happens to shadow during eclipse?,Shadow of one celestial body falls on another.
Name the phenomenon during solar eclipse.,Moon blocks sunlight to Earth.
Name the phenomenon during lunar eclipse.,Earth blocks sunlight to Moon.
