Question,Answer
What allows our body to move?,Muscles and bones
What is the rigid framework of our body?,Skeleton
Which bone protects the brain?,Skull
Which bone protects the heart and lungs?,Rib cage
Which joint allows free movement in all directions?,Ball and socket joint
Which joint allows movement in one direction?,Hinge joint
Which joint allows sliding movements?,Gliding joint
Which joint allows rotation?,Pivot joint
Name the longest bone in human body.,Femur
Name the smallest bone in human body.,Stirrup (in ear)
Which joint is present in elbow?,Hinge joint
Which joint is present in shoulder?,Ball and socket joint
Which joint is present in wrist?,Gliding joint
Which joint is present in neck?,Pivot joint
Which part of bone produces blood cells?,Bone marrow
Which joint allows bending and straightening?,Hinge joint
Which joint allows circular movement?,Ball and socket joint
Which joint allows twisting movement?,Pivot joint
Which joint is fixed and immovable?,Skull sutures
What connects bones to bones?,Ligaments
What connects muscles to bones?,Tendons
Which muscles are voluntary?,Skeletal muscles
Which muscles are involuntary?,Smooth muscles
Which muscles are found in heart?,Cardiac muscles
Which muscle helps in walking?,Leg muscles
Which muscle helps in bending elbow?,Biceps
Which muscle helps in straightening elbow?,Triceps
Which muscle helps in chewing?,Jaw muscles
Which muscle helps in smiling?,Facial muscles
Which muscle helps in breathing?,Diaphragm
Which joint allows movement of thumb?,Saddle joint
Which joint allows rotation of head?,Pivot joint
Which joint allows movement of fingers?,Condyloid joint
Which joint allows bending knee?,Hinge joint
Which joint allows movement of shoulder?,Ball and socket joint
Which joint allows wrist movement?,Gliding joint
Which joint allows ankle movement?,Hinge joint
Which joint is immovable?,Skull sutures
Which joint is partially movable?,Vertebrae
Which joint is freely movable?,Shoulder joint
Which muscles are striated?,Skeletal muscles
Which muscles are non-striated?,Smooth muscles
Which muscles contract quickly?,Skeletal muscles
Which muscles contract slowly?,Smooth muscles
Which muscles are involuntary and striated?,Cardiac muscles
Which joint allows circular movement of arm?,Ball and socket joint
Which joint allows bending and straightening of leg?,Hinge joint
Which joint allows rotation of forearm?,Pivot joint
Which joint allows sliding of wrist bones?,Gliding joint
Which joint is found in vertebral column?,Partially movable joint
Which joint connects thigh to hip?,Ball and socket joint
Which joint connects elbow to forearm?,Hinge joint
