Question,Answer
What is a magnet?,An object that attracts iron
Which material is attracted by magnet?,Iron
Name one magnetic material.,Iron
Name one non-magnetic material.,Wood
What are the two poles of a magnet?,North pole and South pole
Which poles attract each other?,Unlike poles
Which poles repel each other?,Like poles
What happens when two north poles are brought together?,They repel
What happens when north and south poles are brought together?,They attract
Where is magnetic force strongest?,At the poles
Which metal is used to make magnets?,Iron or steel
What is a bar magnet?,A magnet in the shape of a bar
What is a horseshoe magnet?,U-shaped magnet
What is a compass?,Device used to find directions
Which direction does compass needle point?,North-South
What is magnetic field?,Region around magnet where force is felt
Give one use of magnet.,Finding directions
Give one use of magnet.,In refrigerator door
Which part of earth acts like a magnet?,Earth’s core
Which direction is north?,Direction shown by north pole of compass
What is a temporary magnet?,Magnet that loses magnetism easily
What is a permanent magnet?,Magnet that keeps magnetism for long time
Which magnet is temporary?,Electromagnet
Which magnet is permanent?,Bar magnet
What is an electromagnet?,Magnet made using electricity
Give one use of electromagnet.,Electric bell
Which device uses electromagnet?,Electric bell
Which material is used as core of electromagnet?,Soft iron
What happens when magnet is dropped?,It may lose magnetism
How should magnets be stored?,With keepers
What is a keeper?,Soft iron piece placed across poles
What happens when magnet is heated?,Loses magnetism
Which object uses magnet to stick notes?,Fridge magnet
Which object uses magnet to separate iron?,Magnetic separator
Which magnet is used in speakers?,Electromagnet
Which magnet is used in cranes?,Electromagnet
Which shape magnet is used in compass?,Bar magnet
What is magnetic attraction?,Pulling force between magnet and iron
What is magnetic repulsion?,Pushing force between like poles
Which materials can be magnetized?,Iron, steel
Which materials cannot be magnetized?,Wood, plastic
What is magnetization?,Making an object a magnet
What is demagnetization?,Loss of magnetism
Which part of magnet is strongest?,Poles
Which magnet is used in refrigerator door?,Permanent magnet
Which tool helps in finding directions?,Compass
Which device uses magnet to lift scrap?,Crane with electromagnet
Which metal is commonly attracted by magnets?,Iron
What happens when magnet is broken?,Each piece becomes a magnet
