Question,Answer
What is air?,A mixture of gases surrounding the Earth.
Name the major components of air.,Nitrogen, oxygen, carbon dioxide, water vapour.
Which gas is present in maximum amount in air?,Nitrogen.
Which gas is essential for respiration?,Oxygen.
Which gas is used by plants for photosynthesis?,Carbon dioxide.
What is atmosphere?,Envelope of air around the Earth.
What is the role of oxygen in burning?,Supports combustion.
Why does a candle go out in a closed jar?,Oxygen gets used up.
What is the role of nitrogen in air?,Dilutes oxygen and supports plant growth indirectly.
Why is carbon dioxide important?,Plants use it for photosynthesis.
What is water vapour?,Gaseous form of water present in air.
What causes humidity?,Presence of water vapour in air.
What is humidity?,Amount of water vapour in air.
What is wind?,Moving air.
What causes wind?,Uneven heating of Earth’s surface.
What is air pressure?,Force exerted by air on surfaces.
Why do we not feel air pressure?,Pressure is applied equally from all sides.
What is the role of air in sound?,Medium for transmission of sound.
Can sound travel in vacuum?,No, air or medium is needed.
What is the role of air in seed dispersal?,Wind carries light seeds.
Give two examples of wind-dispersed seeds.,Cotton and dandelion.
What is the role of air in respiration?,Provides oxygen for breathing.
What is inhalation?,Taking in air rich in oxygen.
What is exhalation?,Giving out air rich in carbon dioxide.
Why do fish need dissolved oxygen?,For respiration through gills.
What is the role of air in flying?,Air provides lift for birds and aircraft.
What is smoke?,Mixture of gases and tiny particles in air.
What causes air pollution?,Smoke from vehicles and industries.
What are pollutants?,Harmful substances present in air.
Give two examples of air pollutants.,Smoke and dust.
What is clean air?,Air free from harmful pollutants.
Why is air essential for life?,Living beings need oxygen and carbon dioxide exchange.
What is greenhouse gas?,Gas that traps heat in atmosphere.
Name one greenhouse gas.,Carbon dioxide.
What is the role of oxygen in rusting?,Oxygen reacts with iron to form rust.
What is rusting?,Formation of reddish-brown layer on iron.
Does nitrogen support burning?,No.
Why is nitrogen useful in food packets?,Prevents food from spoiling.
What is ozone?,A form of oxygen with three atoms.
What is the role of ozone layer?,Protects Earth from harmful UV rays.
What is carbon monoxide?,Poisonous gas from incomplete combustion.
Why is carbon monoxide dangerous?,It reduces oxygen supply in blood.
What is particulate matter?,Tiny solid particles suspended in air.
What is smog?,Mixture of smoke and fog.
What is the role of air in pollination?,Wind helps transfer pollen.
What is air resistance?,Force of air opposing motion of objects.
Why do parachutes open wide?,To increase air resistance and slow fall.
What is the role of air in weather?,Air movement and moisture affect weather.
What happens to air when heated?,It expands and becomes lighter.
What happens to air when cooled?,It contracts and becomes heavier.
Why does hot air rise?,It is lighter than cold air.
Why is fresh air important for health?,Provides oxygen and reduces pollution exposure.
