Question,Answer
What is a material?,A substance used to make objects.
What is sorting of materials?,Grouping materials based on their properties.
Name two main ways to sort materials.,Based on physical properties and usage.
What are physical properties?,Characteristics of materials that can be observed or measured.
Give an example of a physical property.,Color, texture, hardness, or transparency.
What is transparency?,Ability of a material to allow light to pass through.
Which material is transparent?,Glass.
Which material is translucent?,Butter paper.
Which material is opaque?,Wood.
What is hardness?,Resistance of a material to scratching or indentation.
Give an example of a hard material.,Diamond.
Give an example of a soft material.,Wax.
What is flexibility?,Ability of a material to bend without breaking.
Give an example of a flexible material.,Rubber.
What is elasticity?,Ability of a material to regain its original shape after stretching.
Give an example of an elastic material.,Rubber band.
What is solubility?,Ability of a substance to dissolve in a solvent.
Give an example of soluble material.,Salt in water.
Give an example of insoluble material.,Sand in water.
What is magnetic property?,Ability of a material to attract or repel magnets.
Give an example of a magnetic material.,Iron.
Give an example of a non-magnetic material.,Plastic.
What is thermal conductivity?,Ability of a material to conduct heat.
Give an example of a good conductor.,Copper.
Give an example of a poor conductor.,Wood.
What is electrical conductivity?,Ability of a material to conduct electricity.
Give an example of a good electrical conductor.,Aluminium.
Give an example of an electrical insulator.,Rubber.
What is buoyancy?,Ability of a material to float in water.
Give an example of a buoyant material.,Wood.
What is density?,Mass per unit volume of a material.
Which material has high density?,Lead.
Which material has low density?,Wood.
What is roughness?,Texture that can be felt by touch.
Give an example of a rough material.,Sandpaper.
Give an example of a smooth material.,Glass.
What is malleability?,Ability of a material to be hammered into thin sheets.
Give an example of a malleable material.,Gold.
What is ductility?,Ability of a material to be drawn into wires.
Give an example of a ductile material.,Copper.
What is transparency used for?,To see objects through a material.
What is the use of flexible materials?,To make objects that can bend without breaking.
What is the use of elastic materials?,To make stretchable objects like bands.
What is the use of magnetic materials?,To make magnets or devices that attract metals.
What is the use of thermally conductive materials?,To make cooking utensils and heat exchangers.
What is the use of electrical conductors?,To make wires and circuits.
What is the use of electrical insulators?,To protect wires and prevent shocks.
Which materials are grouped based on hardness?,Metals and minerals.
Which materials are grouped based on solubility?,Salt, sugar, sand.
Which materials are grouped based on transparency?,Glass, paper, wood.
Which materials are grouped based on magnetic property?,Iron, steel, wood.
Which materials are grouped based on flexibility?,Rubber, plastic, metal.
Which materials are grouped based on thermal conductivity?,Copper, aluminum, wood.
Which materials are grouped based on density?,Lead, wood, cork.
Which materials are grouped based on ductility?,Copper, aluminum, iron.
Which materials are grouped based on malleability?,Gold, silver, aluminum.
Which materials are grouped based on buoyancy?,Wood, cork, iron.
