Question,Answer
What is electricity?,A form of energy due to flow of electric charges
What is an electric circuit?,A complete closed path for electric current
What is a cell?,A source of electrical energy
What is a battery?,Combination of two or more cells
What is a bulb?,An electrical device that gives light
What is a switch?,A device to open or close a circuit
What is an open circuit?,A broken or incomplete circuit
What is a closed circuit?,A complete circuit that allows current to flow
What happens in an open circuit?,Bulb does not glow
What happens in a closed circuit?,Bulb glows
What is a conductor?,Material that allows current to pass
Give an example of conductor.,Copper
What is an insulator?,Material that does not allow current to pass
Give an example of insulator.,Plastic
Name two conductors.,Copper, aluminium
Name two insulators.,Rubber, wood
What is the positive terminal of a cell?,Marked with +
What is the negative terminal of a cell?,Marked with -
What is an electric current?,Flow of electric charge
What is a filament?,Thin wire inside bulb that glows
Which material is used as filament?,Tungsten
What happens when filament gets hot?,It glows
What is a circuit diagram?,Symbolic representation of a circuit
What is the symbol of a cell?,Two parallel lines of unequal length
What is the symbol of a bulb?,A circle with filament
What is the symbol of a switch?,A break in a line
What happens if switch is ON?,Circuit is complete
What happens if switch is OFF?,Circuit is broken
Which materials allow electricity?,Conductors
Which materials stop electricity?,Insulators
Can water conduct electricity?,Yes, if it has impurities
Can pure distilled water conduct electricity?,No
What happens if wire breaks?,Circuit opens
What happens if more cells are added?,Bulb glows brighter
What is a torch?,Portable electric device with bulb and battery
What is a fuse?,Safety device that protects circuit
Why is fuse used?,To prevent damage due to excess current
What happens when fuse melts?,Circuit breaks
What is a short circuit?,Direct contact of terminals
Why is short circuit dangerous?,It may cause fire
Which metal is best conductor?,Copper
Which material is used to cover wires?,Plastic
What happens when wet hands touch switch?,Risk of electric shock
Is electricity visible?,No
Which device stores electricity?,Cell or battery
What is the unit of electric current?,Ampere
Name a safety rule for electricity.,Do not touch switches with wet hands
What is a simple circuit?,Circuit with cell, wire, bulb and switch
