Question,Answer
What is a physical change?,A change in shape, size or state of a substance without forming a new substance
What is a chemical change?,A change that forms a new substance
Give an example of physical change.,Melting of ice
Give an example of chemical change.,Rusting of iron
Is melting of butter a physical or chemical change?,Physical
Is burning of paper a physical or chemical change?,Chemical
What change occurs when water boils?,Physical change
What change occurs when food is cooked?,Chemical change
Is freezing of water a physical or chemical change?,Physical
Is digestion of food a physical or chemical change?,Chemical
What happens in condensation?,Gas changes into liquid
What happens in evaporation?,Liquid changes into gas
Is tearing of paper a physical or chemical change?,Physical
Is burning of candle a physical or chemical change?,Chemical
What happens when iron reacts with oxygen?,Rusting
What happens when milk turns sour?,Chemical change
Is dissolving sugar in water a physical or chemical change?,Physical
Is cooking of eggs a physical or chemical change?,Chemical
Is breaking of glass a physical or chemical change?,Physical
Is frying of potato a physical or chemical change?,Chemical
Name a reversible physical change.,Melting of ice
Name an irreversible physical change.,Tearing of paper
Name a reversible chemical change.,None
Name an irreversible chemical change.,Burning of paper
What happens when wood burns?,Chemical change
What happens when ice melts?,Physical change
What happens when water evaporates?,Physical change
What happens when fruits rot?,Chemical change
Is cutting of fruits a physical or chemical change?,Physical
Is rusting of iron reversible?,No
Is freezing of water reversible?,Yes
Is cooking food reversible?,No
Is dissolving salt in water reversible?,Yes
What happens when candle melts?,Physical change
What happens when candle burns?,Chemical change
Is breaking of chalk a physical or chemical change?,Physical
Is digestion of food reversible?,No
Is boiling of water reversible?,Yes
Is burning of fuel reversible?,No
Which change can be reversed easily?,Physical change
Which change cannot be reversed easily?,Chemical change
What happens when paper burns?,Chemical change
What happens when ice forms from water?,Physical change
Which change absorbs heat?,Melting of ice
Which change releases heat?,Burning of wood
What happens when metal corrodes?,Chemical change
What happens when water boils to form steam?,Physical change
Is stretching of rubber a physical or chemical change?,Physical
Is fermentation of sugar a physical or chemical change?,Chemical
What happens when iron nails rust?,Chemical change
What happens when sugar dissolves in water?,Physical change
