Question,Answer
What is a magnet?,An object that attracts magnetic materials like iron.
Name two magnetic materials.,Iron and steel.
Name two non-magnetic materials.,Wood and plastic.
What are magnetic poles?,The two ends of a magnet where magnetic force is strongest.
What are the names of magnetic poles?,North pole and South pole.
What happens when like poles are brought together?,They repel each other.
What happens when unlike poles are brought together?,They attract each other.
What is attraction?,Pulling force between unlike poles.
What is repulsion?,Pushing force between like poles.
How can you identify the poles of a magnet?,By using a freely suspended magnet.
What is a freely suspended magnet?,A magnet allowed to rotate freely to show direction.
Which direction does a freely suspended magnet point?,North-South direction.
Why is Earth called a magnet?,It has its own magnetic field.
What is a compass?,A device using magnet to find directions.
Which pole of a compass points north?,North-seeking pole.
What is magnetic field?,Region around magnet where force is felt.
What is magnetic strength?,Power of a magnet to attract materials.
What factors affect magnetic strength?,Material, size, and magnetization.
Can a magnet attract all metals?,No, only magnetic metals.
Name one metal not attracted by magnet.,Copper.
What is magnetization?,Process of making a material magnetic.
How can iron be magnetized?,By stroking with a magnet or using electricity.
What is demagnetization?,Loss of magnetic property.
How can a magnet lose its magnetism?,By heating, dropping or hammering.
Why should magnets be stored with keepers?,To prevent loss of magnetism.
What is a keeper?,A soft iron bar placed across poles of magnet.
What is natural magnet?,Magnetite or lodestone.
What is artificial magnet?,Man-made magnet like bar magnet.
What is a bar magnet?,A straight magnet with two poles at ends.
What is a horseshoe magnet?,A U-shaped magnet with close poles.
Why are poles strongest at ends?,Magnetic field is concentrated at ends.
What happens if a magnet is cut into two pieces?,Each piece becomes a magnet.
Can magnetic poles be isolated?,No, they always exist in pairs.
What is temporary magnet?,Magnet that loses magnetism easily.
What is permanent magnet?,Magnet that retains magnetism for long time.
What is magnetic induction?,Magnetizing a material without direct contact.
Give an example of magnetic induction.,Iron nail becoming magnet near magnet.
Why does a magnet not attract plastic?,Plastic is non-magnetic.
What is domain theory?,Magnetism due to alignment of magnetic domains.
Why does a broken magnet still have poles?,Domains remain aligned in pieces.
What is the use of magnets in daily life?,Used in fridge doors, speakers, motors.
How are magnets used in cranes?,To lift heavy iron scrap.
How does a magnetic compass work?,Needle aligns with Earth’s magnetic field.
Why should magnets be kept away from electronics?,They can damage devices.
Why should magnets not be heated?,Heat demagnetizes magnets.
What is magnetic separation?,Using magnets to separate iron from waste.
Give an example of magnetic separation.,Separating iron filings from sand.
What is a magnetic strip?,A strip with magnetized material used in cards.
Why do refrigerator magnets stick?,Because fridge surface is iron.
What is the importance of magnets?,Used in navigation, machines, and technology.
