Question,Answer
What is water?,A transparent, colorless liquid essential for life
What are the three states of water?,Solid, liquid, gas
What is solid form of water?,Ice
What is gaseous form of water?,Water vapour
What is evaporation?,Change of liquid water into vapour
What is condensation?,Change of water vapour into liquid
What is precipitation?,Falling of water from clouds as rain, snow, etc.
What is transpiration?,Loss of water from plants through leaves
What is water cycle?,Continuous movement of water on Earth
Name one source of water.,River
Name one source of water.,Rain
Name one source of water.,Well
Name one source of water.,Lake
What is groundwater?,Water found below the ground
What is surface water?,Water found on Earth’s surface
What is potable water?,Safe drinking water
Why is water important?,Essential for life
Which form of water is used for drinking?,Liquid water
Which form of water is used for cooling?,Ice
Which form of water is present in air?,Water vapour
What is drought?,Long period without rainfall
What is flood?,Overflow of water on land
Which process forms clouds?,Condensation
Which process causes rain?,Precipitation
Which process changes water into vapour?,Evaporation
Which process changes vapour into water?,Condensation
Which process helps plants lose water?,Transpiration
What is rainwater harvesting?,Collecting and storing rainwater
Why should we conserve water?,To prevent water scarcity
Name one method of saving water.,Turn off tap when not in use
Name one method of saving water.,Rainwater harvesting
Which water is used for irrigation?,River or canal water
Which water is used in homes?,Tap water
Which water is salty?,Seawater
Which water is fresh?,River water
Which water is used for washing?,Fresh water
Which water source is largest?,Ocean
Which form of water is snow?,Solid
Which form of water is steam?,Gas
Which process forms ice?,Freezing
Which process melts ice?,Melting
Which process forms dew?,Condensation
Which process dries clothes?,Evaporation
Which process helps in water cycle?,Evaporation and condensation
Which water source is underground?,Well
Which water source is natural?,River
Which water is polluted?,Dirty water
Which water is safe to drink?,Clean potable water
Why should polluted water be cleaned?,To prevent diseases
Which device is used to clean water?,Filter
