Question,Answer
Define integers and give examples.,Integers are whole numbers and their negatives including zero. Examples: -3, -2, -1, 0, 1, 2, 3.
Represent -4 on the number line.,Start from 0 and move 4 units to the left to locate -4.
Add 7 and (-3).,7 + (-3) = 4.
Add (-5) and (-6).,(-5) + (-6) = -(5 + 6) = -11.
Subtract 5 from 12.,12 - 5 = 7.
Subtract 9 from (-2).,(-2) - 9 = -11.
Subtract (-4) from 6.,6 - (-4) = 6 + 4 = 10.
Subtract (-7) from (-3).,(-3) - (-7) = -3 + 7 = 4.
Find (-8) + 3.,-8 + 3 = -5.
Find 4 + (-10).,4 - 10 = -6.
Multiply 6 and (-3).,6 × (-3) = -18.
Multiply (-4) and (-5).,(-4) × (-5) = 20.
Multiply (-7) and 2.,(-7) × 2 = -14.
Multiply (-3), (-2) and 4.,(-3) × (-2) × 4 = 24.
Divide 20 by (-4).,20 ÷ (-4) = -5.
Divide (-36) by 6.,-36 ÷ 6 = -6.
Divide (-24) by (-3).,(-24) ÷ (-3) = 8.
Evaluate: (-5) + 9 - 4.,(-5) + 9 = 4; 4 - 4 = 0.
Evaluate: 12 - (-3) + (-5).,12 + 3 = 15; 15 + (-5) = 10.
Find the additive inverse of -7.,The additive inverse of -7 is 7.
Find the additive inverse of 9.,The additive inverse of 9 is -9.
What is the result of adding zero to -12?,-12 + 0 = -12.
Verify: 0 × (-15) = 0.,Any number multiplied by 0 is 0, so 0 × (-15) = 0.
Find the product of -1 and 25.,-1 × 25 = -25.
Find the product of -1 and -36.,-1 × (-36) = 36.
Evaluate: (-3) × 0.,Any number multiplied by 0 is 0.
Evaluate: 0 ÷ 5.,0 ÷ 5 = 0.
Explain why division by 0 is not defined.,Division by 0 is not defined because no number multiplied by 0 gives a non-zero result.
Compare -4 and -7.,-4 is greater than -7 because it is to the right on the number line.
Arrange -2, 5, -8, 0, 3 in ascending order.,-8, -2, 0, 3, 5.
Find the absolute value of -9.,The absolute value of -9 is 9.
Find the absolute value of 12.,The absolute value of 12 is 12.
What is the sum of additive inverses of 6 and -6?,6 + (-6) = 0.
Explain the rule for addition of two negative integers.,Add their absolute values and put a negative sign.
Explain the rule for subtraction of integers.,Subtracting an integer is the same as adding its additive inverse.
Explain the rule for multiplication of two negative integers.,The product of two negative integers is positive.
Explain the rule for multiplication of a positive and a negative integer.,The product of a positive and a negative integer is negative.
Explain the rule for division of two negative integers.,The quotient of two negative integers is positive.
Explain the rule for division of a positive and a negative integer.,The quotient of a positive and a negative integer is negative.
Find the temperature change: from -5°C to 3°C.,Increase = 3 - (-5) = 8°C.
Find the net gain/loss: loss of ₹50 and gain of ₹20.,Net result = -50 + 20 = -30 (loss of ₹30).
Find the score change: -10, +15, -5.,Net change = -10 + 15 - 5 = 0.
A submarine is at -200 m and rises 75 m. Find its new position.,New position = -200 + 75 = -125 m.
The bank balance is ₹-500. A deposit of ₹800 is made. Find new balance.,-500 + 800 = ₹300.
Explain the meaning of integers in daily life.,Integers are used to represent temperatures below zero, debts and credits, sea levels, and elevations.
Draw and explain the number line for integers.,A number line has zero at the center, positive integers to the right, and negative integers to the left.
Verify: (-2) × [3 + (-5)] = (-2 × 3) + (-2 × -5).,LHS: (-2) × (-2) = 4; RHS: -6 + 10 = 4; Verified.
Use distributive law: 4 × [5 + (-2)].,4 × 5 + 4 × (-2) = 20 - 8 = 12.
Simplify: (-6) + 2 × 4.,2 × 4 = 8; -6 + 8 = 2.
Simplify: 18 ÷ (-3) + (-4).,18 ÷ (-3) = -6; -6 + (-4) = -10.
Simplify: (-10) - [(-3) + (-2)].,(-3) + (-2) = -5; -10 - (-5) = -5.
