Question,Answer
Define a fraction. Explain with an example.,A fraction represents a part of a whole. It is written as numerator/denominator. Example: 3/4 means 3 parts out of 4 equal parts.
What is a proper fraction? Give an example.,A proper fraction has numerator smaller than denominator. Example: 2/5.
What is an improper fraction? Give an example.,An improper fraction has numerator greater than or equal to denominator. Example: 7/4.
What is a mixed fraction? Give an example.,A mixed fraction has a whole number and a proper fraction. Example: 2 1/3.
Explain equivalent fractions with example.,Equivalent fractions are different fractions having the same value. Example: 1/2 = 2/4.
How do you find equivalent fractions?,Multiply or divide numerator and denominator by the same non-zero number.
Convert 6/4 into a mixed fraction and explain.,6/4 = 1 2/4 = 1 1/2. Divide 6 by 4 to get quotient 1 and remainder 2.
Convert 2 3/5 into an improper fraction and explain.,2 3/5 = (2×5 + 3)/5 = 13/5.
Explain how to simplify a fraction.,Divide the numerator and denominator by their HCF. Example: 6/12 = 1/2.
Find the simplest form of 18/24 and explain.,HCF of 18 and 24 is 6. Divide both by 6: 18/24 = 3/4.
Compare 3/4 and 2/3 and explain.,LCM of 4 and 3 is 12. 3/4 = 9/12, 2/3 = 8/12. So 3/4 > 2/3.
Explain how to compare fractions with same denominators.,The fraction with greater numerator is larger.
Explain how to compare fractions with same numerators.,The fraction with smaller denominator is larger.
Add 1/4 and 2/4 and explain.,Same denominator, add numerators: (1+2)/4 = 3/4.
Subtract 5/6 − 2/6 and explain.,Same denominator, subtract numerators: (5−2)/6 = 3/6 = 1/2.
Add 1/3 and 1/6 and explain.,LCM of 3 and 6 is 6. 1/3 = 2/6. Sum = 2/6 + 1/6 = 3/6 = 1/2.
Subtract 3/4 − 1/2 and explain.,LCM of 4 and 2 is 4. 1/2 = 2/4. Difference = 3/4 − 2/4 = 1/4.
Explain proper, improper and mixed fractions with examples.,Proper: 2/5, Improper: 7/4, Mixed: 1 3/4.
What is a unit fraction? Give examples.,A unit fraction has numerator 1. Example: 1/2, 1/5.
Represent 3/4 on a number line and explain.,Divide the segment from 0 to 1 into 4 equal parts and mark the 3rd point from 0.
Explain like fractions with example.,Like fractions have the same denominator. Example: 2/7 and 5/7.
Explain unlike fractions with example.,Unlike fractions have different denominators. Example: 1/3 and 2/5.
How do you add unlike fractions?,Find LCM of denominators, convert to like fractions, then add numerators.
How do you subtract unlike fractions?,Find LCM of denominators, convert to like fractions, then subtract numerators.
Convert 9/3 into a whole number and explain.,9/3 = 3 because numerator is divisible by denominator.
Explain the meaning of numerator and denominator.,Numerator shows how many parts are taken; denominator shows total equal parts.
Write 4/8 in simplest form and explain.,HCF of 4 and 8 is 4. 4/8 = 1/2.
Explain why 2/3 is greater than 1/3.,Same denominator, 2 > 1 so 2/3 > 1/3.
Explain how fractions are used in daily life.,Fractions are used in sharing food, measuring ingredients, dividing money, etc.
Find 1/2 of 10 and explain.,1/2 of 10 = 10 ÷ 2 = 5.
Find 1/4 of 20 and explain.,1/4 of 20 = 20 ÷ 4 = 5.
Explain fraction of a collection with example.,Fraction of a collection means part of a group. Example: 1/2 of 8 apples = 4 apples.
Explain how to convert a fraction into simplest form.,Divide numerator and denominator by their HCF.
Write three equivalent fractions of 2/3.,2/3 = 4/6 = 6/9 = 8/12.
Explain the importance of fractions in measurement.,Fractions help measure parts of units like 1/2 litre, 3/4 kg, etc.
Compare 5/6 and 4/6 and explain.,Same denominator, 5 > 4 so 5/6 > 4/6.
Explain how to find LCM for adding fractions.,Find the least common multiple of denominators to make denominators same.
Explain fraction as a part of a whole with a diagram description.,Divide a whole into equal parts and shade required parts to show fraction.
Write 7/1 as a whole number and explain.,7/1 = 7 because denominator is 1.
Explain mixed fractions with daily life example.,2 1/2 pizzas means 2 full pizzas and half pizza.
Find the sum of 2/5 and 1/5 and explain.,Same denominator, sum = (2+1)/5 = 3/5.
Find the difference between 3/8 and 1/8 and explain.,Same denominator, difference = (3−1)/8 = 2/8 = 1/4.
Explain the concept of equivalent fractions using picture.,Same portion of a shape is shaded though divided differently, showing same value.
Explain why fractions with same numerator but different denominators are different in size.,Smaller denominator means larger parts, so fraction is bigger.
Explain how fractions help in sharing equally.,Fractions divide things into equal parts ensuring fair sharing.
