Question,Answer
Define symmetry and give an example.,Symmetry is when one half of a figure is a mirror image of the other half. Example: A butterfly.
Explain line of symmetry.,A line that divides a figure into two identical mirror halves is called the line of symmetry.
Explain rotational symmetry.,A figure has rotational symmetry if it looks the same after rotation by a certain angle less than 360°.
Explain order of rotational symmetry.,The number of times a figure coincides with itself in one full rotation is called the order of rotational symmetry.
Explain reflection symmetry with examples.,A figure shows reflection symmetry if it can be folded along a line and both halves match. Example: Square, rectangle.
Explain the difference between line symmetry and rotational symmetry.,Line symmetry is mirror image across a line; rotational symmetry is identical after rotation.
Explain symmetry in regular polygons.,A regular polygon has as many lines of symmetry as its number of sides. Example: Regular pentagon has 5.
Explain how to find the line of symmetry in a figure.,Fold the figure or draw lines where halves match exactly.
Explain symmetry in letters of the alphabet.,Some letters have vertical/horizontal symmetry. Example: A, H, M, T
Explain symmetry in numbers.,Some digits are symmetric vertically/horizontally. Example: 0, 8, 3 (vertical)
Explain symmetry in real-life objects.,Objects like leaves, flowers, and butterflies show symmetry.
Explain rotational symmetry of a square.,Square has rotational symmetry of order 4 (90°, 180°, 270°, 360°)
Explain rotational symmetry of an equilateral triangle.,Order 3 (120°, 240°, 360°)
Explain symmetry of a rectangle.,Rectangle has 2 lines of symmetry and rotational symmetry of order 2.
Explain symmetry of a circle.,A circle has infinite lines of symmetry and rotational symmetry of infinite order.
Explain symmetry of an isosceles triangle.,It has 1 line of symmetry (along axis passing through vertex and base midpoint)
Explain symmetry of an equilateral triangle.,It has 3 lines of symmetry (each axis through vertex and opposite side midpoint)
Explain symmetry of a regular hexagon.,It has 6 lines of symmetry and rotational symmetry of order 6.
Explain vertical symmetry with examples.,Vertical symmetry is mirror image along a vertical line. Example: letter A
Explain horizontal symmetry with examples.,Horizontal symmetry is mirror image along a horizontal line. Example: letter H
Explain diagonal symmetry with examples.,Mirror image along a diagonal axis. Example: square has 2 diagonal lines of symmetry.
Explain how to draw line of symmetry in irregular shapes.,Fold along potential line or trace to match halves visually.
Explain symmetry in patterns and designs.,Many designs have repeating symmetrical motifs for aesthetic appeal.
Explain difference between symmetry in 2D and 3D objects.,2D objects: line symmetry and rotational symmetry; 3D objects: plane symmetry and rotational symmetry.
Explain plane of symmetry in 3D objects.,A plane dividing a 3D object into two mirror halves. Example: Cube has 3 planes of symmetry.
Explain symmetry in nature.,Leaves, flowers, human face, animals often show symmetry.
Explain symmetry in art and architecture.,Buildings, paintings, and decorations often use symmetry for beauty and balance.
Explain step by step method to find lines of symmetry in a figure.,Observe folding positions, draw lines where halves coincide.
Explain how to identify if a shape has no symmetry.,Try folding along various lines; if no halves coincide, it has no symmetry.
Explain rotational symmetry of a regular pentagon.,It has order 5 (72°, 144°, 216°, 288°, 360°)
Explain how to find order of rotational symmetry.,Count number of times figure coincides with itself during full 360° rotation.
Explain difference between reflective and rotational symmetry in real life.,Reflective: mirror image in lake, rotational: fan blades look same when rotated.
Explain multiple lines of symmetry in regular shapes.,Regular shapes have as many lines of symmetry as sides. Example: Hexagon-6
Explain symmetry in alphabets vertically and horizontally.,Vertical: A, M, T; Horizontal: B, C, D, E, H, I
Explain symmetry in digits vertically and horizontally.,Vertical: 0, 1, 8; Horizontal: 0, 3, 8
Explain symmetry in geometric figures using tracing paper.,Fold tracing paper over figure to see mirror image match.
Explain difference between symmetry and asymmetry.,Symmetry: balanced and mirror halves; Asymmetry: no mirror halves.
Explain how to construct symmetrical patterns on grid paper.,Mark line of symmetry, plot points on one side, reflect on other side.
Explain symmetry in polygons with odd and even sides.,Even-sided regular polygons have lines through opposite vertices and midpoints; odd-sided polygons through vertices and opposite sides.
Explain symmetry in star shapes.,Count lines passing through center dividing into identical parts.
Explain symmetry in real-life tools and objects.,Examples: Scissors (line symmetry), wheels (rotational symmetry)
Explain rotational symmetry of a regular octagon.,Order 8; each rotation 45° coincides with itself.
Explain step by step method to solve word problems on symmetry.,Identify shape, determine type of symmetry, count lines or order, explain.
Explain plane of symmetry in sphere.,Any plane passing through center divides sphere into two identical halves.
Explain line symmetry in 3D objects.,Line of symmetry in 3D refers to axis around which rotation gives identical halves.
Explain using symmetry to create designs and motifs.,Use repeated mirror images or rotational symmetry for decoration.
Explain symmetry in daily life with examples.,Butterfly wings, human face, leaves, clocks, furniture design.
Explain how to identify multiple axes of symmetry.,Draw or rotate figure, count axes that divide figure into identical halves.
Explain difference between symmetry and congruence.,Symmetry: figure matches itself along line or rotation; Congruence: two different figures identical in shape and size.
Explain symmetry of regular polygon using central point.,Draw lines from center to vertices; each line may represent axis of symmetry.
Explain how to check if a figure has rotational symmetry of order n.,Rotate figure in steps of 360°/n; figure coincides at each step.
Explain step by step method to draw a figure with given lines of symmetry.,Mark axis, draw half figure, reflect across axis, complete figure.
