Question,Answer
What is symmetry?,Symmetry means that a figure can be divided into two equal mirror halves.
Explain line of symmetry.,A line of symmetry divides a figure into two identical parts.
What is mirror image?,Mirror image is the reflection of an object across a line.
Give an example of symmetrical object.,Butterfly is a symmetrical object.
What is an asymmetrical figure?,A figure which has no line of symmetry.
How many lines of symmetry does a square have?,A square has 4 lines of symmetry.
How many lines of symmetry does a rectangle have?,A rectangle has 2 lines of symmetry.
How many lines of symmetry does a circle have?,A circle has infinitely many lines of symmetry.
How many lines of symmetry does an equilateral triangle have?,An equilateral triangle has 3 lines of symmetry.
How many lines of symmetry does an isosceles triangle have?,An isosceles triangle has 1 line of symmetry.
How many lines of symmetry does a scalene triangle have?,A scalene triangle has no line of symmetry.
What is rotational symmetry?,A figure that looks same after rotation has rotational symmetry.
What is order of rotational symmetry?,The number of times a figure matches itself in one full rotation.
What is the order of rotational symmetry of a square?,The order of rotational symmetry of a square is 4.
What is the order of rotational symmetry of a rectangle?,The order of rotational symmetry of a rectangle is 2.
What is the order of rotational symmetry of a circle?,A circle has infinite order of rotational symmetry.
What is the order of rotational symmetry of equilateral triangle?,The order of rotational symmetry of equilateral triangle is 3.
Explain reflection.,Reflection is flipping a figure over a line to get mirror image.
What is the importance of symmetry?,Symmetry makes shapes look balanced and beautiful.
Give example of symmetry in nature.,Flowers show symmetry.
What is bilateral symmetry?,When a figure has only one line of symmetry.
What is radial symmetry?,When a figure has many lines of symmetry around a center.
Give example of radial symmetry.,Circle has radial symmetry.
Explain folding method of symmetry.,Folding a figure to check if both halves match.
Explain symmetry in letters.,Some letters have symmetry like A, H, O.
Which letters have vertical symmetry?,A, M, T, U
Which letters have horizontal symmetry?,B, C, D, E
Which letters have both symmetries?,H, I, O, X
What is a pattern?,A repeated design or arrangement.
How is symmetry used in art?,Artists use symmetry to create balance.
How is symmetry used in architecture?,Buildings are designed symmetrically.
What is the mirror line?,The line used to reflect a figure.
What is reflectional symmetry?,Another name for line symmetry.
Explain with example: reflection.,Reflecting a triangle across a line.
What is symmetry in rangoli?,Rangoli designs are usually symmetrical.
Why is symmetry important in designs?,It makes designs attractive.
What is the centre of symmetry?,A point around which figure rotates symmetrically.
Give example of centre of symmetry.,Circle has centre of symmetry.
Explain symmetry in everyday life.,Faces, leaves, and wings show symmetry.
What is a symmetric figure?,A figure having at least one line of symmetry.
How do you identify symmetry?,By folding or drawing a mirror line.
Explain symmetry in shapes.,Many shapes like square, circle are symmetrical.
Explain symmetry in alphabets.,Some alphabets look same when folded.
What is reflection in water?,Water acts like a mirror producing reflection.
What is mirror?,A smooth surface that reflects image.
Explain importance of mirror image.,Helps in understanding reflection.
Give example of asymmetrical shape.,A random curved shape.
What is geometric symmetry?,Symmetry in geometrical figures.
Explain with example: rotational symmetry.,A square rotated 90° looks same.
