Question,Answer
Match the term with its definition,"Data,Collection of facts; Frequency,Number of times a value occurs; Mean,Average of data; Median,Middle value; Mode,Most frequent value; Range,Difference between maximum and minimum; Pictograph,Representation using pictures; Bar graph,Representation using bars; Histogram,Graph of frequency distribution; Tally marks,Marks to count occurrences"
Match the type of data with example,"Qualitative,Color of cars; Quantitative,Number of students; Discrete,Number of books; Continuous,Height of students; Nominal,Names of cities; Ordinal,Rank in race; Interval,Temperature in Celsius; Ratio,Weight of fruits; Categorical,Gender; Numerical,Marks in exam"
Match the graph type with its usage,"Pictograph,To show data using pictures; Bar graph,To compare quantities; Histogram,To show frequency distribution; Line graph,To show trends over time; Pie chart,To show percentage; Stem-and-leaf,To display individual data; Frequency polygon,To show trend of frequencies; Scatter plot,To show relation between two variables; Dot plot,To display individual occurrences; Cumulative frequency graph,To show cumulative frequency"
Match the term with formula,"Mean,(Sum of observations)/Number of observations; Median,Middle value of ordered data; Mode,Value occurring maximum times; Range,Maximum - Minimum; Frequency,Number of times value occurs; Cumulative frequency,Sum of frequencies up to a point; Relative frequency,Frequency/Total frequency; Percentage frequency,(Frequency/Total)*100; Class interval,Difference between upper and lower limits; Tally count,Marks to count frequency"
Match the example with type of graph,"Population of cities,Bar graph; Monthly rainfall,Line graph; Exam scores,Pictograph; Market share,Pie chart; Daily temperature,Line graph; Frequency of marks,Histogram; Age distribution,Histogram; Sales trend,Line graph; Favorite fruit,Pictograph; Number of pets,Bar graph"
Match the type of data with its scale,"Nominal,No order; Ordinal,Ordered; Interval,Equal intervals; Ratio,Has true zero; Discrete,Countable; Continuous,Measurable; Quantitative,Numerical; Qualitative,Descriptive; Categorical,Labels; Numerical,Numbers"
Match the term with its characteristic,"Mean,Affected by extreme values; Median,Not affected by extreme values; Mode,May not exist; Range,Depends on extreme values; Frequency,Count; Data,Collection of values; Outlier,Extreme value; Class interval,Group of data; Tally mark,Counting tool; Cumulative frequency,Running total"
Match the example with statistical measure,"Marks of students,Mean; Height of plants,Mean; Number of cars,Mode; Shoe size,Median; Age of students,Mean; Favorite color,Mode; Rank in race,Median; Temperature readings,Mean; Number of books,Mode; Income of families,Mean"
Match the term with appropriate description,"Discrete,Countable values; Continuous,Can take any value; Qualitative,Descriptive; Quantitative,Numerical; Nominal,Names; Ordinal,Ordered; Interval,Equal intervals; Ratio,Has absolute zero; Frequency,Number of occurrences; Mode,Most frequent value"
Match the example with data type,"Colors of pens,Qualitative; Number of pencils,Quantitative; Distance traveled,Continuous; Number of pages,Discrete; Temperature in Celsius,Interval; Weight of apples,Ratio; Rank in class,Ordinal; Gender of students,Nominal; Age of children,Ratio; Favorite fruit,Qualitative"
Match the term with method of representation,"Tally marks,Counting tool; Bar graph,Rectangular bars; Pie chart,Sector of circle; Histogram,Frequency distribution; Line graph,Connecting points; Pictograph,Using pictures; Stem-and-leaf,Digits separated; Frequency polygon,Joining midpoints; Scatter plot,Points for relation; Cumulative frequency graph,Cumulative data"
Match the data type with example in daily life,"Continuous,Height of plants; Discrete,Number of students; Nominal,Names of cities; Ordinal,Rank in a competition; Ratio,Weight of fruits; Interval,Temperature; Qualitative,Color of shirts; Quantitative,Number of books; Categorical,Gender; Numerical,Marks in exam"
Match the term with example,"Mode,Most common shoe size; Median,Middle salary; Mean,Average marks; Range,Maximum-minimum age; Frequency,Number of red balls; Cumulative frequency,Total students up to a score; Relative frequency,Proportion of category; Percentage frequency,Percentage of votes; Tally mark,Counting marks; Class interval,Score group"
Match the method of representation with usage,"Bar graph,Compare quantities; Pie chart,Show parts of whole; Histogram,Frequency distribution; Line graph,Trend over time; Pictograph,Visual representation; Scatter plot,Relation between variables; Stem-and-leaf,Individual data; Frequency polygon,Frequency trend; Cumulative frequency graph,Total up to point; Dot plot,Individual occurrences"
Match the measure of central tendency with its property,"Mean,Affected by extreme values; Median,Not affected by extreme values; Mode,May not exist; Range,Depends on extremes; Frequency,Count; Cumulative frequency,Running total; Relative frequency,Proportion; Percentage frequency,Percentage; Class interval,Grouping; Data,Collection"
