Chapter,Set A,Set B,Answer
Integers,Positive integers,Numbers greater than zero,Positive integers → Numbers greater than zero
Integers,Negative integers,Numbers less than zero,Negative integers → Numbers less than zero
Integers,Zero,Neither positive nor negative,Zero → Neither positive nor negative
Integers,Number line,Shows integers in order,Number line → Shows integers in order
Integers,Addition of two positive integers,Always gives a positive integer,Addition of two positive integers → Always gives a positive integer
Integers,Addition of two negative integers,Always gives a negative integer,Addition of two negative integers → Always gives a negative integer
Integers,Additive inverse,Opposite of a number,Additive inverse → Opposite of a number
Integers,Absolute value,Distance from zero on number line,Absolute value → Distance from zero on number line
Integers,Greater integer,Lies to the right on number line,Greater integer → Lies to the right on number line
Integers,Smaller integer,Lies to the left on number line,Smaller integer → Lies to the left on number line
Integers,Subtracting a negative integer,Same as adding a positive integer,Subtracting a negative integer → Same as adding a positive integer
Integers,(-a) + a,Equals zero,(-a) + a → Equals zero
Integers,(-5) + 3,-2,(-5) + 3 → -2
Integers,7 - 10,-3,7 - 10 → -3
Integers,Multiplication of two negative integers,Gives a positive integer,Multiplication of two negative integers → Gives a positive integer
