Question,Answer
Match the term with its definition,"Line of symmetry,Imaginary line dividing a figure into identical halves; Symmetric figure,Figure that can be folded into identical parts; Asymmetric figure,Figure that cannot be folded into identical parts; Mirror symmetry,Symmetry seen in reflection; Rotational symmetry,Symmetry when rotated about a point; Axis of symmetry,Line about which rotation or reflection occurs; Center of symmetry,Point around which figure is symmetric; Symmetry order,Number of times figure maps onto itself in 360° rotation; Reflection,Flipping across a line; Congruent halves,Two identical parts after symmetry"
Match the figure with number of lines of symmetry,"Equilateral triangle,3; Square,4; Rectangle,2; Circle,Infinite; Isosceles triangle,1; Regular pentagon,5; Regular hexagon,6; Rhombus,2; Kite,1; Parallelogram,0"
Match the figure with type of symmetry,"Square,Line and rotational; Rectangle,Line and rotational; Circle,Line and rotational; Equilateral triangle,Line and rotational; Isosceles triangle,Line only; Scalene triangle,None; Regular pentagon,Line and rotational; Regular hexagon,Line and rotational; Parallelogram,Rotational; Kite,Line only"
Match the symmetry type with example,"Mirror symmetry,Butterfly; Rotational symmetry,Pinwheel; Translational symmetry,Tiling; Line symmetry,Leaf; Point symmetry,Starfish; Reflection symmetry,Alphabet 'A'; Rotational symmetry of order 4,Square; Symmetry in nature,Flowers; Rotational symmetry of order 3,Equilateral triangle; Axis symmetry,Rectangle"
Match the term with property,"Line of symmetry,Divides figure into equal parts; Center of symmetry,Figure looks same on rotation; Reflection,Flipping over line; Rotational symmetry,Figure coincides after rotation; Order of symmetry,Number of rotations; Symmetric figure,Has at least one line of symmetry; Asymmetric figure,No line of symmetry; Congruent halves,Equal shapes after fold; Axis of symmetry,Line of reflection; Point of symmetry,Center for rotation"
Match the figure with center of symmetry,"Square,Yes; Rectangle,Yes; Circle,Yes; Equilateral triangle,Yes; Isosceles triangle,No; Parallelogram,Yes; Rhombus,Yes; Kite,No; Scalene triangle,No; Regular hexagon,Yes"
Match the figure with rotational symmetry order,"Equilateral triangle,3; Square,4; Rectangle,2; Circle,Infinite; Regular pentagon,5; Regular hexagon,6; Rhombus,2; Kite,1; Parallelogram,2; Isosceles triangle,1"
Match the figure with fold lines,"Square,4; Rectangle,2; Circle,Infinite; Equilateral triangle,3; Isosceles triangle,1; Regular pentagon,5; Regular hexagon,6; Rhombus,2; Kite,1; Scalene triangle,0"
Match the figure with axes of symmetry,"Square,2 diagonals+2 medians; Rectangle,2 medians; Circle,Infinite; Equilateral triangle,3 medians; Isosceles triangle,1 median; Regular pentagon,5; Regular hexagon,6; Rhombus,2 diagonals; Kite,1 diagonal; Parallelogram,0"
Match the figure with reflection property,"Square,Symmetric; Rectangle,Symmetric; Circle,Symmetric; Equilateral triangle,Symmetric; Isosceles triangle,Symmetric; Scalene triangle,Asymmetric; Regular pentagon,Symmetric; Regular hexagon,Symmetric; Parallelogram,Symmetric; Kite,Symmetric"
Match the symmetry type with alphabet,"Line symmetry,A,H,I,M,O,T,U,V,W,X,Y; Rotational symmetry,N,S,Z; Both symmetry,B,C,D,E,K; None symmetry,F,G,J,L,P,Q,R; Reflection symmetry,E,H,I; Point symmetry,N,S,Z; Mirror symmetry,M,T,U; Rotational symmetry order 2,H,I,O,X; Rotational symmetry order 3,Y; Axis of symmetry,A,H,M"
Match the figure with folding property,"Equilateral triangle,Fold along medians; Square,Fold along sides and diagonals; Rectangle,Fold along medians; Circle,Fold along any diameter; Rhombus,Fold along diagonals; Kite,Fold along axis; Regular pentagon,Fold along medians; Regular hexagon,Fold along medians; Isosceles triangle,Fold along median; Parallelogram,No fold gives equal parts"
Match the term with example,"Line of symmetry,Butterfly wings; Rotational symmetry,Windmill; Center of symmetry,Circle; Point of symmetry,Star; Reflection symmetry,Alphabet 'A'; Rotational symmetry of order 4,Square; Axis of symmetry,Rectangle; Congruent halves,Heart shape; Asymmetric figure,Scalene triangle; Symmetric figure,Equilateral triangle"
Match the figure with symmetry type,"Square,Line and rotational; Rectangle,Line and rotational; Circle,Line and rotational; Equilateral triangle,Line and rotational; Isosceles triangle,Line only; Scalene triangle,None; Rhombus,Line and rotational; Kite,Line only; Parallelogram,Rotational; Regular hexagon,Line and rotational"
Match the figure with nature example,"Butterfly,Line symmetry; Pinwheel,Rotational symmetry; Flowers,Line symmetry; Starfish,Point symmetry; Leaves,Line symmetry; Windmill,Rotational symmetry; Snowflake,Rotational symmetry; Alphabet 'A',Line symmetry; Heart shape,Line symmetry; Circle,Infinite symmetry"
