Question,Answer
Match the tool with its use,"Compass,To draw circles and arcs; Ruler,To measure lengths and draw straight lines; Protractor,To measure angles; Set square,To draw right angles and perpendicular lines; Divider,To transfer measurements; Pencil,To mark points and lines; Eraser,To remove marks; Scissors,To cut paper; Drawing board,To provide flat surface; T-square,To draw horizontal lines"
Match the construction with its steps,"Bisecting a line,Use compass to mark equal arcs and join intersection; Bisecting an angle,Draw arcs from vertex and join intersections; Drawing perpendicular,Draw line at 90° using set square; Drawing parallel,Use ruler and set square to draw lines at equal distance; Constructing a triangle,Draw base, measure sides, complete triangle; Constructing a circle,Use compass with given radius; Constructing square,Draw equal sides with right angles; Constructing rectangle,Draw adjacent sides with right angles; Drawing polygon,Draw sides using ruler and protractor; Drawing hexagon,Use compass to mark equal sides"
Match the tool with property,"Compass,Adjustable radius; Ruler,Has scale; Protractor,180°/360° measure; Set square,Right angled triangle; Divider,Equal spacing; Pencil,Fine point; Eraser,Soft; Scissors,Sharp edge; Drawing board,Flat surface; T-square,Right angle with straight edge"
Match the term with definition,"Line segment,Part of a line with two endpoints; Ray,Line with one endpoint; Perpendicular lines,Intersect at 90°; Parallel lines,Never meet; Angle,Formed by two rays from a vertex; Triangle,Three sides; Quadrilateral,Four sides; Circle,All points equidistant from center; Polygon,Closed figure with straight sides; Arc,Part of a circle"
Match the construction with example,"Bisecting line,Dividing 8cm line into two 4cm lines; Bisecting angle,Dividing 60° angle into 30° each; Drawing perpendicular,Constructing a perpendicular from point on line; Drawing parallel,Parallel railway tracks; Constructing a triangle,Triangle with sides 5cm,6cm,7cm; Constructing a square,Square with 4cm sides; Constructing rectangle,Rectangle 5cm×3cm; Drawing polygon,Hexagon with 6 sides; Drawing circle,Circle radius 3cm; Drawing hexagon,Regular hexagon using compass"
Match the tool with material,"Compass,Paper; Ruler,Paper; Protractor,Paper; Set square,Paper; Divider,Paper; Pencil,Paper; Eraser,Paper; Scissors,Paper; Drawing board,Board; T-square,Paper"
Match the term with example,"Line segment,AB; Ray,XY→; Angle,PQR; Triangle,ΔABC; Quadrilateral,ABCD; Circle,Center O radius r; Polygon,PQRST; Arc,Arc AB; Parallel lines,AB∥CD; Perpendicular lines,EF⊥GH"
Match the tool with drawing type,"Compass,Circles and arcs; Ruler,Straight lines; Protractor,Angles; Set square,Perpendicular and right angles; Divider,Transfer distances; Pencil,Marking points; Eraser,Corrections; Scissors,Cutting shapes; Drawing board,Flat surface; T-square,Horizontal lines"
Match the construction with property,"Triangle sum of angles,180°; Rectangle,Opposite sides equal; Square,All sides equal, angles 90°; Circle,All points equidistant from center; Hexagon,All sides equal; Rhombus,All sides equal; Pentagon,5 sides; Parallelogram,Opposite sides equal; Arc,Part of circle; Angle bisector,Divides angle into two equal parts"
Match the step with tool,"Drawing circle,Compass; Measuring length,Ruler; Drawing 90° angle,Set square; Measuring angle,Protractor; Marking points,Pencil; Cutting shape,Scissors; Straight horizontal line,T-square; Equal spacing,Divider; Correction,Eraser; Flat surface,Drawing board"
Match the figure with number of sides,"Triangle,3; Square,4; Rectangle,4; Pentagon,5; Hexagon,6; Heptagon,7; Octagon,8; Nonagon,9; Decagon,10; Circle,0"
Match the term with formula,"Perimeter triangle,a+b+c; Area square,Side²; Area rectangle,Length×Breadth; Area triangle,1/2×Base×Height; Circumference circle,2πr; Area circle,πr²; Diagonal square,Side√2; Diagonal rectangle,√(l²+b²); Angle sum triangle,180°; Angle sum quadrilateral,360°"
Match the construction with difficulty,"Bisecting line,Easy; Bisecting angle,Medium; Drawing perpendicular,Medium; Drawing parallel,Easy; Constructing triangle,Medium; Constructing square,Medium; Constructing rectangle,Medium; Drawing circle,Easy; Drawing polygon,Medium; Drawing hexagon,Medium"
Match the tool with usage,"Compass,Draw arcs; Ruler,Measure distance; Protractor,Measure angles; Set square,Draw perpendicular; Divider,Transfer measurements; Pencil,Mark points; Eraser,Correct mistakes; Scissors,Cut paper; Drawing board,Support drawing; T-square,Draw horizontal lines"
Match the construction with result,"Bisecting line,Two equal segments; Bisecting angle,Two equal angles; Drawing perpendicular,Right angle formed; Drawing parallel,Two lines never meet; Constructing triangle,Complete triangle; Constructing square,Square drawn; Constructing rectangle,Rectangle drawn; Drawing circle,Circle formed; Drawing polygon,Polygon formed; Drawing hexagon,Hexagon formed"
