Question,Answer
Match the decimal with its place value,"0.5,1/2; 0.25,1/4; 0.75,3/4; 0.125,1/8; 0.6,6/10; 0.8,8/10; 0.05,5/100; 0.375,3/8; 0.09,9/100; 0.33,33/100"
Match the decimal with its expanded form,"0.5,5×0.1; 0.25,2×0.1+5×0.01; 0.75,7×0.1+5×0.01; 0.125,1×0.1+2×0.01+5×0.001; 0.6,6×0.1; 0.8,8×0.1; 0.05,5×0.01; 0.375,3×0.1+7×0.01+5×0.001; 0.09,9×0.01; 0.33,3×0.1+3×0.01"
Match the decimal with its fraction,"0.5,1/2; 0.25,1/4; 0.75,3/4; 0.125,1/8; 0.6,3/5; 0.8,4/5; 0.05,1/20; 0.375,3/8; 0.09,9/100; 0.33,33/100"
Match the decimal with its rounding to 1 decimal place,"0.46,0.5; 0.34,0.3; 0.78,0.8; 0.12,0.1; 0.67,0.7; 0.83,0.8; 0.05,0.1; 0.375,0.4; 0.09,0.1; 0.33,0.3"
Match the decimal with its rounding to 2 decimal places,"0.456,0.46; 0.342,0.34; 0.783,0.78; 0.128,0.13; 0.678,0.68; 0.834,0.83; 0.054,0.05; 0.375,0.38; 0.092,0.09; 0.333,0.33"
Match the decimal with its comparison,"0.5,>0.25; 0.25,<0.5; 0.75,>0.5; 0.125,<0.25; 0.6,>0.5; 0.8,>0.75; 0.05,<0.1; 0.375,<0.5; 0.09,<0.1; 0.33,<0.5"
Match the decimal with its position on number line,"0.1,Right of 0; 0.25,Right of 0.2; 0.5,Right of 0.4; 0.75,Right of 0.7; 0.6,Right of 0.5; 0.8,Right of 0.7; 0.05,Right of 0; 0.33,Right of 0.3; 0.09,Right of 0; 0.375,Right of 0.3"
Match the decimal with its addition result,"0.5+0.25,0.75; 0.6+0.3,0.9; 0.75+0.125,0.875; 0.4+0.35,0.75; 0.33+0.67,1.0; 0.08+0.02,0.1; 0.375+0.125,0.5; 0.9+0.05,0.95; 0.12+0.08,0.2; 0.25+0.5,0.75"
Match the decimal with its subtraction result,"0.75-0.25,0.5; 0.6-0.3,0.3; 0.5-0.125,0.375; 0.4-0.1,0.3; 0.33-0.08,0.25; 0.8-0.2,0.6; 0.375-0.125,0.25; 0.9-0.05,0.85; 0.12-0.02,0.1; 0.25-0.15,0.1"
Match the decimal with its multiplication result,"0.5×0.2,0.1; 0.25×0.4,0.1; 0.75×0.8,0.6; 0.125×0.2,0.025; 0.6×0.5,0.3; 0.8×0.25,0.2; 0.05×0.1,0.005; 0.375×0.4,0.15; 0.09×0.5,0.045; 0.33×0.3,0.099"
Match the decimal with its division result,"0.5÷0.25,2; 0.75÷0.25,3; 0.6÷0.2,3; 0.125÷0.025,5; 0.8÷0.4,2; 0.05÷0.01,5; 0.375÷0.125,3; 0.09÷0.03,3; 0.33÷0.11,3; 0.12÷0.04,3"
Match the decimal with its equivalent fraction,"0.5,1/2; 0.25,1/4; 0.75,3/4; 0.125,1/8; 0.6,3/5; 0.8,4/5; 0.05,1/20; 0.375,3/8; 0.09,9/100; 0.33,33/100"
Match the decimal with its ordering,"0.05,1st; 0.09,2nd; 0.12,3rd; 0.25,4th; 0.33,5th; 0.375,6th; 0.4,7th; 0.5,8th; 0.6,9th; 0.75,10th"
Match the decimal with rounding to nearest whole number,"0.5,1; 0.25,0; 0.75,1; 0.125,0; 0.6,1; 0.8,1; 0.05,0; 0.375,0; 0.09,0; 0.33,0"
