Column A,Column B,Answer
Tally marks,Used for counting,Matching
Bar graph,Shows data using bars,Matching
Pictograph,Shows data using pictures,Matching
Data,Collection of information,Matching
Frequency,Number of times an item occurs,Matching
Survey,Method of collecting data,Matching
Table,Data arranged in rows and columns,Matching
Horizontal axis,Shows categories,Matching
Vertical axis,Shows values,Matching
Raw data,Unorganized data,Matching
Organized data,Arranged data,Matching
Symbol,Represents fixed number in pictograph,Matching
Scale,Shows value of one unit,Matching
Interpretation,Understanding data,Matching
Chart,Visual display of data,Matching
