Column A,Column B,Answer
Point,Has no length, width or thickness,Has no length, width or thickness
Line,One-dimensional figure extending infinitely,One-dimensional figure extending infinitely
Line segment,Part of a line with two endpoints,Part of a line with two endpoints
Ray,Part of a line with one endpoint and extends infinitely,Part of a line with one endpoint and extends infinitely
Plane,Flat surface extending infinitely in all directions,Flat surface extending infinitely in all directions
Radius,Distance from center to any point on circle,Distance from center to any point on circle
Diameter,Line passing through center joining two points on circle,Line passing through center joining two points on circle
Chord,Line segment joining two points on circle,Line segment joining two points on circle
Tangent,Line touching circle at exactly one point,Line touching circle at exactly one point
Polygon,Closed figure made of straight lines,Closed figure made of straight lines
Regular polygon,All sides and angles equal,All sides and angles equal
Triangle,Polygon with 3 sides,Polygon with 3 sides
Quadrilateral,Polygon with 4 sides,Polygon with 4 sides
Complementary angles,Two angles whose sum is 90°,Two angles whose sum is 90°
Supplementary angles,Two angles whose sum is 180°,Two angles whose sum is 180°
