Chapter,Set A,Set B,Answer
Practical Geometry,Compass,Used to draw circles or arcs,Compass → Used to draw circles or arcs
Practical Geometry,Ruler,Used to draw straight lines,Ruler → Used to draw straight lines
Practical Geometry,Protractor,Used to measure angles,Protractor → Used to measure angles
Practical Geometry,Perpendicular bisector,Divides line into two equal parts,Perpendicular bisector → Divides line into two equal parts
Practical Geometry,Angle bisector,Divides angle into two equal parts,Angle bisector → Divides angle into two equal parts
Practical Geometry,Equilateral triangle,All sides equal,Equilateral triangle → All sides equal
Practical Geometry,Isosceles triangle,Two sides equal,Isosceles triangle → Two sides equal
Practical Geometry,Scalene triangle,All sides unequal,Scalene triangle → All sides unequal
Practical Geometry,Square,All sides equal and all angles 90°,Square → All sides equal and all angles 90°
Practical Geometry,Rectangle,Opposite sides equal and all angles 90°,Rectangle → Opposite sides equal and all angles 90°
Practical Geometry,Rhombus,All sides equal but angles not 90°,Rhombus → All sides equal but angles not 90°
Practical Geometry,Parallelogram,Opposite sides equal and parallel,Parallelogram → Opposite sides equal and parallel
Practical Geometry,Construct,To draw accurately with instruments,Construct → To draw accurately with instruments
Practical Geometry,Tangent,Line touching circle at one point,Tangent → Line touching circle at one point
Practical Geometry,Vertex,Point where two lines meet,Vertex → Point where two lines meet
