Question,Answer
The smallest prime number,2
The smallest composite number,4
1 is neither,prime nor composite
The only even prime number,2
A number having exactly two factors,Prime number
A number having more than two factors,Composite number
HCF of 12 and 18,6
LCM of 4 and 6,12
The successor of 0,1
The predecessor of 1,0
Prime numbers between 1 and 10,2,3,5,7
Composite numbers between 1 and 10,4,6,8,9
Divisible by 2,Even number
Divisible by 5,Numbers ending in 0 or 5
Two numbers with HCF 1,Co-prime numbers
