Column A,Column B,Answer
Ratio,Comparison of two quantities,Matching
Proportion,Equality of two ratios,Matching
Antecedent,First term of ratio,Matching
Consequent,Second term of ratio,Matching
Simplest form,Lowest terms of ratio,Matching
Equivalent ratios,Ratios having same value,Matching
Unitary method,Finding value of one unit,Matching
Cross multiplication,Method to check proportion,Matching
a : b = c : d,Proportion formula,Matching
Means,Middle terms in proportion,Matching
Extremes,First and last terms in proportion,Matching
2 : 4,1 : 2,Matching
3 : 6,1 : 2,Matching
5 : 10,1 : 2,Matching
4 : 8,1 : 2,Matching
