Column A,Column B,Answer
Variable,Represents an unknown number,Matching
Constant,Fixed value,Matching
Algebraic expression,Combination of numbers and variables,Matching
Term,Part of an expression,Matching
Coefficient,Numerical part of a term,Matching
Equation,Statement of equality,Matching
Solve equation,Find value of variable,Matching
Like terms,Same variable and power,Matching
Unlike terms,Different variables or powers,Matching
Substitution,Replacing variable with value,Matching
Identity,True for all values,Matching
Simple equation,Equation with one variable,Matching
Literal number,Number represented by a letter,Matching
Perimeter of square,4s,Matching
Area of square,s × s,Matching
