Chapter,Set A,Set B,Answer
Understanding Elementary Shapes,Line segment,Has two end points,Line segment → Has two end points
Understanding Elementary Shapes,Ray,Has one end point,Ray → Has one end point
Understanding Elementary Shapes,Line,Has no end points,Line → Has no end points
Understanding Elementary Shapes,Triangle,Has 3 sides,Triangle → Has 3 sides
Understanding Elementary Shapes,Quadrilateral,Has 4 sides,Quadrilateral → Has 4 sides
Understanding Elementary Shapes,Square,All sides equal and all angles 90°,Square → All sides equal and all angles 90°
Understanding Elementary Shapes,Rectangle,Opposite sides equal and all angles 90°,Rectangle → Opposite sides equal and all angles 90°
Understanding Elementary Shapes,Circle,Has no sides and no corners,Circle → Has no sides and no corners
Understanding Elementary Shapes,Acute angle,Less than 90°,Acute angle → Less than 90°
Understanding Elementary Shapes,Right angle,Exactly 90°,Right angle → Exactly 90°
Understanding Elementary Shapes,Obtuse angle,Greater than 90° but less than 180°,Obtuse angle → Greater than 90° but less than 180°
Understanding Elementary Shapes,Straight angle,Exactly 180°,Straight angle → Exactly 180°
Understanding Elementary Shapes,Parallel lines,Never meet,Parallel lines → Never meet
Understanding Elementary Shapes,Intersecting lines,Meet at a point,Intersecting lines → Meet at a point
Understanding Elementary Shapes,Perpendicular lines,Meet at right angle,Perpendicular lines → Meet at right angle
