Question,Answer
Match the shape with its area formula,"Square,Side×Side; Rectangle,Length×Breadth; Triangle,1/2×Base×Height; Parallelogram,Base×Height; Trapezium,1/2×(Sum of parallel sides)×Height; Circle,π×Radius²; Rhombus,1/2×Diagonal1×Diagonal2; Sector of circle,1/2×Radius²×Angle(in rad); Kite,1/2×Product of diagonals; Ellipse,π×a×b"
Match the shape with its perimeter formula,"Square,4×Side; Rectangle,2×(Length+Breadth); Triangle,Sum of three sides; Circle,2×π×Radius; Parallelogram,2×(Base+Side); Rhombus,4×Side; Trapezium,Sum of four sides; Kite,2×(Sum of adjacent sides); Ellipse,Approx. 2π√((a²+b²)/2); Sector of circle,Arc length + 2×Radius"
Match the 3D shape with surface area formula,"Cube,6×Side²; Cuboid,2(lb+bh+hl); Sphere,4π×Radius²; Hemisphere,3π×Radius²; Cylinder,2πr(h+r); Cone,πr(l+r); Right circular cone,πr(l+r); Prism,2×Base area + Lateral area; Pyramid,Base area + 1/2×Perimeter×Slant height; Sphere shell,4π(R²-r²)"
Match the 3D shape with volume formula,"Cube,Side³; Cuboid,l×b×h; Sphere,4/3π×R³; Hemisphere,2/3π×R³; Cylinder,π×r²×h; Cone,1/3πr²h; Prism,Base area×Height; Pyramid,1/3×Base area×Height; Tetrahedron,1/3×Base area×Height; Ellipsoid,4/3πabc"
Match the shape with units of measurement,"Area,Square units; Perimeter,Linear units; Volume,Cubic units; Surface area,Square units; Length,Metre; Breadth,Metre; Height,Metre; Radius,Metre; Circumference,Metre; Diagonal,Metre"
Match the shape with its type,"Square,Quadrilateral; Rectangle,Quadrilateral; Triangle,Polygon; Circle,Curved; Rhombus,Quadrilateral; Parallelogram,Quadrilateral; Trapezium,Quadrilateral; Kite,Quadrilateral; Ellipse,Curved; Sector of circle,Curved"
Match the shape with formula for diagonal,"Square,Side√2; Rectangle,√(l²+b²); Rhombus,√(d1²+d2²)/2; Parallelogram,√(Base²+Height²); Trapezium,Use Pythagoras; Kite,Use Pythagoras; Cube,Side√3; Cuboid,√(l²+b²+h²); Triangle,Use Pythagoras; None,None"
Match the shape with surface type,"Cube,All faces square; Cuboid,All faces rectangle; Sphere,Curved; Cylinder,2 circular+curved; Cone,Curved+base; Hemisphere,Curved+base; Pyramid,Base+triangular faces; Prism,Base+rectangular faces; Tetrahedron,Triangular faces; Ellipsoid,Curved"
Match the shape with properties,"Circle,No vertices; Triangle,3 vertices; Square,4 vertices; Rectangle,4 vertices; Rhombus,4 vertices; Parallelogram,4 vertices; Kite,4 vertices; Trapezium,4 vertices; Cube,8 vertices; Sphere,0 vertices"
Match the shape with formula for lateral surface area,"Cylinder,2πr×h; Cone,πr×l; Cube,4×Side²; Cuboid,2×(l+b)×h; Prism,Perimeter×Height; Pyramid,1/2×Perimeter×Slant height; Hemisphere,2πr²; Sphere,0; Tetrahedron,Sum of triangular faces; Ellipsoid,No lateral surface"
Match the shape with formula for total surface area,"Cube,6×Side²; Cuboid,2(lb+bh+hl); Sphere,4πR²; Hemisphere,3πR²; Cylinder,2πr(h+r); Cone,πr(l+r); Prism,2×Base area+Lateral area; Pyramid,Base area+1/2×Perimeter×Slant height; Tetrahedron,Sum of triangular faces; Ellipsoid,4πab"
Match the 3D shape with its net,"Cube,6 squares; Cuboid,6 rectangles; Cylinder,2 circles+rectangle; Cone,Circle+sector; Sphere,No net; Hemisphere,Circle+semi-circle; Pyramid,Base+triangles; Prism,Rectangles+bases; Tetrahedron,4 triangles; Cone,Base+sector"
Match the shape with appropriate example,"Cube,Dice; Cuboid,Brick; Sphere,Ball; Cylinder,Water glass; Cone,Ice cream cone; Hemisphere,Dome; Pyramid,Roof; Prism,Glass prism; Tetrahedron,Tetrahedron dice; Ellipsoid,Football"
Match the measure with formula,"Perimeter,Sum of sides; Area,Depends on shape; Volume,Depends on shape; Surface area,Depends on shape; Lateral surface area,Depends on shape; Circumference,2πr; Diagonal,Use formula; Radius,Distance from center; Diameter,2×Radius; Height,Vertical distance"
Match the term with its property,"Area,Always positive; Perimeter,Always positive; Volume,Always positive; Surface area,Always positive; Length,Positive; Breadth,Positive; Height,Positive; Radius,Positive; Diameter,Positive; Diagonal,Positive"
