Question,Answer
Match the fraction with its type,"1/2,Proper; 5/4,Improper; 7/3,Improper; 3/3,Unit; 0/5,Zero; 4/4,Unit; 2/5,Proper; 9/8,Improper; 1/1,Unit; 6/7,Proper"
Match the fraction with its decimal form,"1/2,0.5; 3/4,0.75; 2/5,0.4; 7/10,0.7; 9/20,0.45; 5/8,0.625; 1/5,0.2; 11/25,0.44; 3/2,1.5; 7/4,1.75"
Match the fraction with its simplified form,"4/8,1/2; 6/9,2/3; 10/15,2/3; 8/12,2/3; 9/12,3/4; 14/21,2/3; 12/16,3/4; 18/24,3/4; 20/25,4/5; 16/20,4/5"
Match the fraction with its reciprocal,"2/3,3/2; 5/4,4/5; 7/8,8/7; 9/10,10/9; 1/2,2/1; 3/5,5/3; 4/7,7/4; 6/11,11/6; 8/9,9/8; 1/3,3/1"
Match the fraction with proper/improper classification,"1/2,Proper; 5/3,Improper; 7/7,Unit; 9/8,Improper; 3/4,Proper; 6/6,Unit; 2/5,Proper; 11/10,Improper; 4/4,Unit; 8/5,Improper"
Match the fraction with mixed number form,"7/4,1 3/4; 9/2,4 1/2; 11/3,3 2/3; 5/2,2 1/2; 13/5,2 3/5; 10/3,3 1/3; 8/3,2 2/3; 12/5,2 2/5; 15/4,3 3/4; 14/3,4 2/3"
Match the fraction with numerator and denominator sum,"2/3,5; 3/4,7; 5/6,11; 7/8,15; 1/2,3; 4/5,9; 9/10,19; 6/7,13; 8/9,17; 10/11,21"
Match the fraction with greater/smaller comparison,"1/2,<3/4; 5/6,>1/2; 7/8,>3/4; 2/3,<5/6; 3/5,<4/5; 9/10,>8/10; 6/7,<7/7; 1/3,<2/3; 4/5,>3/5; 11/12,>10/12"
Match the fraction with equivalent fraction,"1/2,2/4; 3/4,6/8; 2/3,4/6; 5/6,10/12; 3/5,6/10; 7/8,14/16; 4/5,8/10; 9/10,18/20; 2/5,4/10; 1/3,2/6"
Match the fraction with improper to mixed conversion,"7/3,2 1/3; 11/4,2 3/4; 9/2,4 1/2; 13/5,2 3/5; 15/4,3 3/4; 8/3,2 2/3; 10/3,3 1/3; 12/5,2 2/5; 14/3,4 2/3; 5/2,2 1/2"
Match the fraction with LCM/denominator for addition,"1/2+1/3,6; 3/4+2/5,20; 5/6+1/2,6; 7/8+1/4,8; 2/3+1/6,6; 3/5+2/3,15; 4/7+3/14,14; 5/8+1/2,8; 6/9+1/3,9; 7/10+2/5,10"
Match the fraction with numerator after addition,"1/2+1/3,5; 3/4+2/5,23; 5/6+1/2,4; 7/8+1/4,9; 2/3+1/6,5; 3/5+2/3,19; 4/7+3/14,11; 5/8+1/2,9; 6/9+1/3,8; 7/10+2/5,11"
Match the fraction with subtraction result,"3/4-1/2,1/4; 5/6-1/3,1/2; 7/8-3/8,4/8; 2/3-1/6,1/2; 9/10-4/5,1/10; 3/5-1/5,2/5; 4/7-1/7,3/7; 11/12-5/12,6/12; 7/9-2/9,5/9; 8/15-1/5,5/15"
Match the fraction with multiplication result,"1/2×3/4,3/8; 2/3×3/5,6/15; 4/5×5/6,20/30; 3/7×2/3,6/21; 5/8×4/5,20/40; 6/7×7/8,42/56; 1/3×2/5,2/15; 2/5×5/6,10/30; 3/4×4/5,12/20; 7/9×3/7,21/63"
Match the fraction with division result,"1/2÷1/4,2; 3/4÷1/2,3/2; 2/3÷2/5,5/3; 5/6÷5/3,1/2; 7/8÷7/4,1/2; 4/5÷2/5,2; 3/7÷1/7,3; 6/9÷2/3,1; 5/8÷5/2,1/4; 9/10÷3/5,3/2"
