Chapter,Set A,Set B,Answer
Mensuration,Perimeter,Total length of boundary,Perimeter → Total length of boundary
Mensuration,Area,Region covered by a shape,Area → Region covered by a shape
Mensuration,Perimeter of rectangle,2 × (length + breadth),Perimeter of rectangle → 2 × (length + breadth)
Mensuration,Area of rectangle,Length × breadth,Area of rectangle → Length × breadth
Mensuration,Perimeter of square,4 × side,Perimeter of square → 4 × side
Mensuration,Area of square,Side × side,Area of square → Side × side
Mensuration,Unit of length,Metre,Unit of length → Metre
Mensuration,Unit of area,Square unit,Unit of area → Square unit
Mensuration,Perimeter of triangle,Sum of all sides,Perimeter of triangle → Sum of all sides
Mensuration,Area of triangle,1/2 × base × height,Area of triangle → 1/2 × base × height
Mensuration,Regular shape,All sides equal,Regular shape → All sides equal
Mensuration,Irregular shape,Unequal sides,Irregular shape → Unequal sides
Mensuration,Length,One dimensional measure,Length → One dimensional measure
Mensuration,Area unit of land,Hectare,Area unit of land → Hectare
Mensuration,Perimeter of circle,Circumference,Perimeter of circle → Circumference
