Chapter,Set A,Set B,Answer
Algebra,Variable,Symbol representing unknown number,Variable → Symbol representing unknown number
Algebra,Constant,Fixed number,Constant → Fixed number
Algebra,Expression,Combination of numbers and variables without =,Expression → Combination of numbers and variables without =
Algebra,Equation,Mathematical statement with =,Equation → Mathematical statement with =
Algebra,Coefficient,Number multiplied with variable,Coefficient → Number multiplied with variable
Algebra,Term,Single number or variable or product of both,Term → Single number or variable or product of both
Algebra,Like terms,Terms with same variables and powers,Like terms → Terms with same variables and powers
Algebra,Unlike terms,Terms with different variables or powers,Unlike terms → Terms with different variables or powers
Algebra,Simplifying expression,Combining like terms,Simplifying expression → Combining like terms
Algebra,Substitution,Replacing variable by a number,Substitution → Replacing variable by a number
Algebra,Equation solution,Value of variable making equation true,Equation solution → Value of variable making equation true
Algebra,0 as a coefficient,Variable has no effect,0 as a coefficient → Variable has no effect
Algebra,Sum of terms,Expression with +,Sum of terms → Expression with +
Algebra,Product of terms,Expression with ×,Product of terms → Expression with ×
Algebra,Power,Number of times variable multiplied by itself,Power → Number of times variable multiplied by itself
