Column A,Column B,Answer
Line of symmetry,Divides a figure into two equal halves,Matching
Mirror image,Reflection of an object,Matching
Symmetrical figure,Figure with line of symmetry,Matching
Asymmetrical figure,Figure with no line of symmetry,Matching
Square,4 lines of symmetry,Matching
Rectangle,2 lines of symmetry,Matching
Circle,Infinite lines of symmetry,Matching
Equilateral triangle,3 lines of symmetry,Matching
Isosceles triangle,1 line of symmetry,Matching
Scalene triangle,0 lines of symmetry,Matching
Rotational symmetry,Looks same after rotation,Matching
Order of rotation,Number of times shape matches in full turn,Matching
Reflection,Flipping over a line,Matching
Vertical symmetry,Up-down mirror line,Matching
Horizontal symmetry,Left-right mirror line,Matching
