Chapter,Set A,Set B,Answer
Symmetry,Line of symmetry,Divides figure into two equal parts,Line of symmetry → Divides figure into two equal parts
Symmetry,Vertical symmetry,Line divides figure top to bottom,Vertical symmetry → Line divides figure top to bottom
Symmetry,Horizontal symmetry,Line divides figure left to right,Horizontal symmetry → Line divides figure left to right
Symmetry,Rotational symmetry,Figure looks same after rotation,Rotational symmetry → Figure looks same after rotation
Symmetry,Order of rotational symmetry,Number of times figure looks same in 360°,Order of rotational symmetry → Number of times figure looks same in 360°
Symmetry,Mirror image,Reflection of figure along a line,Mirror image → Reflection of figure along a line
Symmetry,Symmetric letter,Letter same as its mirror image,Symmetric letter → Letter same as its mirror image
Symmetry,Asymmetric letter,Letter not same as mirror image,Asymmetric letter → Letter not same as mirror image
Symmetry,Axis of symmetry,Line along which symmetry occurs,Axis of symmetry → Line along which symmetry occurs
Symmetry,Line symmetry,Another name of mirror symmetry,Line symmetry → Another name of mirror symmetry
Symmetry,Circle symmetry,Infinite lines of symmetry,Circle symmetry → Infinite lines of symmetry
Symmetry,Equilateral triangle symmetry,3 lines of symmetry,Equilateral triangle symmetry → 3 lines of symmetry
Symmetry,Square symmetry,4 lines of symmetry,Square symmetry → 4 lines of symmetry
Symmetry,Rectangle symmetry,2 lines of symmetry,Rectangle symmetry → 2 lines of symmetry
Symmetry,Kite symmetry,2 lines of symmetry,Kite symmetry → 2 lines of symmetry
