Question,Answer
Match the term with its definition,"Variable,Symbol representing a number; Constant,Fixed value; Coefficient,Number multiplying a variable; Expression,Combination of numbers and variables; Equation,Statement with equality; Term,Single number or variable; Polynomial,Expression with multiple terms; Monomial,Single term; Binomial,Two terms; Trinomial,Three terms"
Match the algebraic expression with its type,"5x,Monomial; 3x+2,Binomial; x²+2x+1,Trinomial; 7,Monomial; 2a+3b,Binomial; p²+q²+r²,Polynomial; 4y,Monomial; x+y+z,Trinomial; 6m+7n,Binomial; k²+3k+1,Trinomial"
Match the expression with degree,"5x,1; 3x²+2x+1,2; 7,0; 4y³,3; x+y,1; p²+q²+r²,2; a³+b,3; m+n+o,1; 2x²+3x,2; k⁴+5k²+1,4"
Match the term with its coefficient,"5x,5; -3y,-3; 7,7; 2a,2; -x,-1; 4p,4; -6q,-6; 8r,8; x²,1; -y²,-1"
Match the expression with its simplified form,"2x+3x,5x; 5a-2a,3a; x+2x+3x,6x; 4y-3y,1y; 3p+4p-2p,5p; 6m-2m+1m,5m; x+y+x,2x+y; 2a+3a-4a,1a; 5b+0,5b; 7c-7c,0"
Match the expression with like terms,"2x+3x,Like terms; 5a+2b,Unlike terms; x+y+2x,Like terms; 3p+4p-2q,Like terms; a+b,Unlike terms; 2m+3n,Unlike terms; 4x+5x,Like terms; p+q+r,Unlike terms; 6y+2y,Like terms; 7m+3n,Unlike terms"
Match the expression with constant term,"3x+5,5; 2a+7,7; x²+4,4; 5y+0,0; 6p+9,9; m+n+10,10; 4x+2,2; 3a+8,8; 7b+0,0; x+y+5,5"
Match the algebraic term with its sign,"+5x,Positive; -3y,Negative; +7,Positive; -2a,Negative; +x,Positive; -4p,Negative; +6q,Positive; -8r,Negative; +x²,Positive; -y²,Negative"
Match the expression with result of addition,"2x+3x,5x; 5a+2a,7a; x+2x+3x,6x; 4y+3y,7y; 3p+4p-2p,5p; 6m+2m+1m,9m; x+y+x,2x+y; 2a+3a-4a,1a; 5b+0,5b; 7c-7c,0"
Match the expression with result of subtraction,"5x-2x,3x; 3a-5a,-2a; 6y-4y,2y; x+y-x,y; 2p+3p-2p,3p; 10m-2m-3m,5m; 4x-4x,0; 7a-3a,4a; 5b-0,5b; 8c-7c,1c"
Match the expression with expanded form,"(x+2)+(x+3),2x+5; (a+3)+(2a+4),3a+7; (p+q)+(r+s),p+q+r+s; (x+y)+(2x+3y),3x+4y; (m+n)+(2m+3n),3m+4n; (a+b)+(b+c),a+2b+c; (x+1)+(x+2),2x+3; (p+2)+(3p+4),4p+6; (x+y)+(y+z),x+2y+z; (a+b)+(b+c),a+2b+c"
Match the expression with factorization,"6x+9,3(2x+3); 8a+12,4(2a+3); x²+2x, x(x+2); 10y+15,5(2y+3); 12p+18,6(2p+3); 4m+8,4(m+2); 9x+12,3(3x+4); 14a+21,7(2a+3); 15b+5,5(3b+1); 6c+9,3(2c+3)"
Match the algebraic equation with its solution,"x+5=10,x=5; 2x+3=7,x=2; y-4=6,y=10; 3a+2=11,a=3; b/2+3=7,b=8; 4p-5=11,p=4; 5q+10=20,q=2; r-3=7,r=10; 6m+2=14,m=2; n/3+4=7,n=9"
Match the algebraic equation with its type,"x+5=10,Linear; 2x²+3x+1=0,Quadratic; y-4=6,Linear; a²+5a+6=0,Quadratic; 3x+2=11,Linear; 4y²-7y+2=0,Quadratic; m+n=5,Linear; p²+q²=25,Quadratic; 2a+3=9,Linear; b²-4b+3=0,Quadratic"
Match the expression with property,"x+0,x; x+0=0+x,Commutative; (x+y)+z,x+(y+z),Associative; x*1=x,Multiplicative identity; x*0=0,Multiplicative property of zero; x+y=y+x,Commutative; (a+b)+c=a+(b+c),Associative; x*1=1*x,Multiplicative identity; x*0=0,Multiplicative property of zero; y+0=y,Identity property"
