Chapter,Set A,Set B,Answer
Fractions,Proper fraction,Numerator less than denominator,Proper fraction → Numerator less than denominator
Fractions,Improper fraction,Numerator greater than or equal to denominator,Improper fraction → Numerator greater than or equal to denominator
Fractions,Mixed fraction,Combination of whole number and proper fraction,Mixed fraction → Combination of whole number and proper fraction
Fractions,Equivalent fractions,Different fractions with same value,Equivalent fractions → Different fractions with same value
Fractions,Like fractions,Same denominator,Like fractions → Same denominator
Fractions,Unlike fractions,Different denominators,Unlike fractions → Different denominators
Fractions,Unit fraction,Numerator is 1,Unit fraction → Numerator is 1
Fractions,Reciprocal of 2/3,3/2,Reciprocal of 2/3 → 3/2
Fractions,1/2 + 1/2,1,1/2 + 1/2 → 1
Fractions,3/4 - 1/4,1/2,3/4 - 1/4 → 1/2
Fractions,Simplest form,Lowest terms,Simplest form → Lowest terms
Fractions,Improper fraction to mixed fraction,Divide numerator by denominator,Improper fraction to mixed fraction → Divide numerator by denominator
Fractions,1 whole,2/2,1 whole → 2/2
Fractions,Addition of like fractions,Add numerators only,Addition of like fractions → Add numerators only
Fractions,Comparing fractions,Make denominators same,Comparing fractions → Make denominators same
